,,Tackles,Tackles,Blocks,,,
Player,Squad,Tkl,TklW,Blocks,Int,Clr,Err
Patrick van Aanholt\Patrick-van-Aanholt,Crystal Palace,46,32,61,42,98,1
Sergio Agüero\Sergio-Aguero,Manchester City,17,14,22,8,1,0
Nathan Aké\Nathan-Ake,Bournemouth,60,37,70,32,237,0
Marc Albrighton\Marc-Albrighton,Leicester City,37,23,30,22,19,0
Toby Alderweireld\Toby-Alderweireld,Tottenham,41,23,54,25,162,1
Trent Alexander-Arnold\Trent-Alexander-Arnold,Liverpool,57,28,35,35,65,1
Alisson\Alisson,Liverpool,0,0,0,1,0,4
Dele Alli\Dele-Alli,Tottenham,32,26,36,18,15,0
Miguel Almirón\Miguel-Almiron,Newcastle Utd,17,11,16,9,5,0
Marcos Alonso\Marcos-Alonso,Chelsea,67,38,60,38,86,1
Daniel Amartey\Daniel-Amartey,Leicester City,16,8,14,15,18,0
Luke Amos\Luke-Amos,Tottenham,1,1,0,0,0,0
Felipe Anderson\Felipe-Anderson,West Ham,76,44,67,45,10,0
Florin Andone\Florin-Andone,Brighton,11,9,9,5,11,0
Michail Antonio\Michail-Antonio,West Ham,31,22,52,19,29,0
Stuart Armstrong\Stuart-Armstrong,Southampton,32,14,21,12,8,0
Marko Arnautovi?\Marko-Arnautovic,West Ham,10,6,12,3,7,0
Kepa Arrizabalaga\Kepa-Arrizabalaga,Chelsea,0,0,0,0,0,2
Harry Arter\Harry-Arter,Cardiff City,55,40,35,21,17,0
Christian Atsu\Christian-Atsu,Newcastle Utd,27,16,22,8,8,0
Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,Arsenal,21,12,36,9,13,0
Serge Aurier\Serge-Aurier,Tottenham,22,12,14,8,16,1
Charlie Austin\Charlie-Austin,Southampton,10,5,11,2,14,0
Jordan Ayew\Jordan-Ayew,Crystal Palace,42,28,24,7,3,0
Floyd Ayité\Floyd-Ayite,Fulham,9,6,13,7,5,0
César Azpilicueta\Cesar-Azpilicueta,Chelsea,98,56,78,44,92,0
Ryan Babel\Ryan-Babel,Fulham,10,7,18,5,10,0
Juninho Bacuna\Juninho-Bacuna,Huddersfield,41,26,32,24,14,0
Leandro Bacuna\Leandro-Bacuna,Cardiff City,15,9,11,13,16,0
Eric Bailly\Eric-Bailly,Manchester Utd,14,7,14,14,32,0
Leighton Baines\Leighton-Baines,Everton,7,4,5,4,4,1
Fabián Balbuena\Fabian-Balbuena,West Ham,36,27,34,55,167,1
Leon Balogun\Leon-Balogun,Brighton,14,7,10,15,40,0
Sol Bamba\Sol-Bamba,Cardiff City,74,34,90,84,159,1
Phil Bardsley\Phil-Bardsley,Burnley,36,19,30,27,85,1
Ross Barkley\Ross-Barkley,Chelsea,12,11,14,9,16,1
Ashley Barnes\Ashley-Barnes,Burnley,26,14,31,3,24,1
Harvey Barnes\Harvey-Barnes,Leicester City,8,4,10,3,4,0
Antonio Barreca\Antonio-Barreca,Newcastle Utd,0,0,0,0,0,0
Michy Batshuayi\Michy-Batshuayi,Crystal Palace,2,1,9,3,1,0
Jan Bednarek\Jan-Bednarek,Southampton,43,28,57,64,172,0
Asmir Begovi?\Asmir-Begovic,Bournemouth,0,0,0,0,1,1
Héctor Bellerín\Hector-Bellerin,Arsenal,13,9,31,18,29,0
Joe Bennett\Joe-Bennett,Cardiff City,50,27,68,57,74,0
Ryan Bennett\Ryan-Bennett,Wolves,68,36,72,46,142,1
Christian Benteke\Christian-Benteke,Crystal Palace,5,4,5,0,13,0
Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,Burnley,22,14,40,31,30,0
Bernard\Bernard,Everton,48,32,52,27,10,0
Bernardo\Bernardo,Brighton,66,39,53,33,76,0
Ryan Bertrand\Ryan-Bertrand,Southampton,36,19,36,30,46,0
Marcus Bettinelli\Marcus-Bettinelli,Fulham,0,0,0,0,1,0
Philip Billing\Philip-Billing,Huddersfield,69,44,68,58,43,0
Yves Bissouma\Yves-Bissouma,Brighton,61,40,39,31,31,1
Willy Boly\Willy-Boly,Wolves,80,45,76,68,202,2
Léo Bonatini\Leo-Bonatini,Wolves,2,2,0,0,0,0
Gaëtan Bong\Gaetan-Bong,Brighton,22,15,46,24,54,0
Artur Boruc\Artur-Boruc,Bournemouth,0,0,0,0,0,0
Robbie Brady\Robbie-Brady,Burnley,12,8,17,8,13,1
Miguel Britos\Miguel-Britos,Watford,4,1,2,3,16,0
David Brooks\David-Brooks,Bournemouth,34,22,44,25,22,0
Bruno\Bruno,Brighton,27,19,10,10,41,1
Joe Bryan\Joe-Bryan,Fulham,65,39,50,30,74,3
David Button\David-Button,Brighton,0,0,0,0,0,0
Willy Caballero\Willy-Caballero,Chelsea,0,0,1,0,0,0
Gary Cahill\Gary-Cahill,Chelsea,0,0,0,0,0,0
Tom Cairney\Tom-Cairney,Fulham,38,30,27,10,13,0
Dominic Calvert-Lewin\Dominic-Calvert-Lewin,Everton,13,8,29,7,16,0
Rafael Camacho\Rafael-Camacho,Liverpool,1,0,0,0,0,0
Víctor Camarasa\Victor-Camarasa,Cardiff City,26,16,33,33,23,0
Étienne Capoue\Etienne-Capoue,Watford,90,67,63,86,76,0
Andy Carroll\Andy-Carroll,West Ham,2,1,5,1,10,1
Jonny Castro\Jonny-Castro,Wolves,74,41,63,64,58,0
Craig Cathcart\Craig-Cathcart,Watford,52,30,55,36,184,2
Ivan Cavaleiro\Ivan-Cavaleiro,Wolves,11,5,8,4,4,0
Petr ?ech\Petr-Cech,Arsenal,0,0,0,0,0,0
Nathaniel Chalobah\Nathaniel-Chalobah,Watford,5,2,3,5,4,0
Calum Chambers\Calum-Chambers,Fulham,52,42,68,70,114,1
Ben Chilwell\Ben-Chilwell,Leicester City,56,36,73,38,114,0
Tahith Chong\Tahith-Chong,Manchester Utd,0,0,0,0,0,0
Hamza Choudhury\Hamza-Choudhury,Leicester City,23,8,14,15,17,0
Andreas Christensen\Andreas-Christensen,Chelsea,10,4,8,4,32,0
Cyrus Christie\Cyrus-Christie,Fulham,44,23,41,29,86,0
Ibrahima Cissé\Ibrahima-Cisse,Fulham,0,0,1,3,1,0
Ciaran Clark\Ciaran-Clark,Newcastle Utd,15,10,14,12,46,0
Tom Cleverley\Tom-Cleverley,Watford,18,14,4,4,12,0
Nathaniel Clyne\Nathaniel-Clyne,Bournemouth,29,13,19,17,39,0
Conor Coady\Conor-Coady,Wolves,31,16,45,31,152,1
Joel Coleman\Joel-Coleman,Huddersfield,0,0,0,0,0,0
Séamus Coleman\Seamus-Coleman,Everton,50,32,40,27,81,1
Lewis Cook\Lewis-Cook,Bournemouth,14,8,8,7,8,0
Steve Cook\Steve-Cook,Bournemouth,35,21,45,50,242,1
Jack Cork\Jack-Cork,Burnley,46,27,57,29,76,0
Hélder Costa\Helder-Costa,Wolves,17,14,17,8,7,0
Aaron Cresswell\Aaron-Cresswell,West Ham,24,15,43,20,60,1
Peter Crouch\Peter-Crouch,Burnley,0,0,2,0,3,0
Greg Cunningham\Greg-Cunningham,Cardiff City,13,7,17,14,9,0
Diogo Dalot\Diogo-Dalot,Manchester Utd,22,13,25,8,36,1
Matty Daly\Matty-Daly,Huddersfield,0,0,0,0,1,0
Loïc Damour\Loic-Damour,Cardiff City,0,0,0,0,0,0
Charlie Daniels\Charlie-Daniels,Bournemouth,24,16,35,22,34,1
Danilo\Danilo,Manchester City,21,9,7,16,41,1
Scott Dann\Scott-Dann,Crystal Palace,5,1,24,5,62,0
Matteo Darmian\Matteo-Darmian,Manchester Utd,12,6,8,7,20,0
Ben Davies\Ben-Davies,Tottenham,44,24,39,23,66,0
Tom Davies\Tom-Davies,Everton,27,13,13,17,5,0
Steven Davis\Steven-Davis,Southampton,3,3,4,2,4,0
Kevin De Bruyne\Kevin-De-Bruyne,Manchester City,20,16,9,3,3,0
Troy Deeney\Troy-Deeney,Watford,28,19,36,8,30,0
Jermain Defoe\Jermain-Defoe,Bournemouth,0,0,0,0,0,0
Steven Defour\Steven-Defour,Burnley,8,4,9,7,8,0
Fabian Delph\Fabian-Delph,Manchester City,18,7,3,13,20,2
Mousa Dembélé\Mousa-Dembele,Tottenham,15,9,6,10,5,0
Leander Dendoncker\Leander-Dendoncker,Wolves,47,35,45,22,29,0
Laurent Depoitre\Laurent-Depoitre,Huddersfield,9,9,14,2,8,0
Gerard Deulofeu\Gerard-Deulofeu,Watford,10,8,17,15,6,0
Fousseni Diabaté\Fousseni-Diabate,Leicester City,3,3,1,0,0,0
Adama Diakhaby\Adama-Diakhaby,Huddersfield,4,3,8,1,0,0
Mohamed Diamé\Mohamed-Diame,Newcastle Utd,72,48,50,30,39,0
Grady Diangana\Grady-Diangana,West Ham,21,10,11,2,3,0
Eric Dier\Eric-Dier,Tottenham,25,12,33,21,43,0
Lucas Digne\Lucas-Digne,Everton,84,45,74,58,118,0
Virgil van Dijk\Virgil-van-Dijk,Liverpool,35,25,43,42,227,0
Issa Diop\Issa-Diop,West Ham,67,34,81,60,163,2
Matt Doherty\Matt-Doherty,Wolves,68,33,80,60,98,0
Abdoulaye Doucouré\Abdoulaye-Doucoure,Watford,71,48,35,32,43,3
Luke Dreher\Luke-Dreher,Crystal Palace,0,0,0,0,0,0
Martin Dúbravka\Martin-Dubravka,Newcastle Utd,0,0,0,0,5,3
Shane Duffy\Shane-Duffy,Brighton,32,20,71,36,302,2
Demeaco Duhaney\Demeaco-Duhaney,Huddersfield,2,1,5,0,0,0
Paul Dummett\Paul-Dummett,Newcastle Utd,38,16,46,36,129,1
Lewis Dunk\Lewis-Dunk,Brighton,46,32,66,51,225,0
Erik Durm\Erik-Durm,Huddersfield,48,28,36,38,50,0
Bruno Ecuele Manga\Bruno-Ecuele-Manga,Cardiff City,68,43,86,79,162,4
Ederson\Ederson,Manchester City,1,1,0,1,1,1
Harvey Elliot\Harvey-Elliot,Fulham,1,0,0,0,0,0
Mohamed Elneny\Mohamed-Elneny,Arsenal,10,5,5,2,8,0
Mohamed Elyounoussi\Mohamed-Elyounoussi,Southampton,18,11,13,7,4,0
Christian Eriksen\Christian-Eriksen,Tottenham,41,27,44,14,8,0
Neil Etheridge\Neil-Etheridge,Cardiff City,0,0,0,6,0,0
Jonny Evans\Jonny-Evans,Leicester City,24,17,36,33,154,2
?ukasz Fabia?ski\Lukasz-Fabianski,West Ham,0,0,0,1,3,0
Fabinho\Fabinho,Liverpool,60,34,40,31,46,0
Cesc Fàbregas\Cesc-Fabregas,Chelsea,10,9,2,1,1,0
Fabricio\Fabricio,Fulham,0,0,0,0,0,0
Marouane Fellaini\Marouane-Fellaini,Manchester Utd,23,15,13,3,28,0
Kiko Femenía\Kiko-Femenia,Watford,53,30,37,38,68,1
Federico Fernández\Federico-Fernandez,Newcastle Utd,22,16,32,25,104,0
Fernandinho\Fernandinho,Manchester City,59,50,35,40,77,1
Roberto Firmino\Roberto-Firmino,Liverpool,33,29,40,6,14,1
Phil Foden\Phil-Foden,Manchester City,7,7,4,3,1,0
Fraser Forster\Fraser-Forster,Southampton,0,0,0,0,0,1
Ben Foster\Ben-Foster,Watford,0,0,0,1,6,1
Timothy Fosu-Mensah\Timothy-Fosu-Mensah,Fulham,18,7,18,12,18,0
Juan Foyth\Juan-Foyth,Tottenham,37,21,21,11,47,1
Simon Francis\Simon-Francis,Bournemouth,22,13,27,19,57,0
Ryan Fraser\Ryan-Fraser,Bournemouth,14,6,41,23,22,0
Fred\Fred,Manchester Utd,37,25,32,16,6,1
Ryan Fredericks\Ryan-Fredericks,West Ham,31,17,31,14,56,0
Christian Fuchs\Christian-Fuchs,Leicester City,4,2,4,4,7,0
Manolo Gabbiadini\Manolo-Gabbiadini,Southampton,5,2,6,3,5,0
Sam Gallagher\Sam-Gallagher,Southampton,0,0,2,0,1,0
Idrissa Gana Gueye\Idrissa-Gana-Gueye,Everton,135,97,58,74,50,1
James Garner\James-Garner,Manchester Utd,0,0,0,0,0,0
Paulo Gazzaniga\Paulo-Gazzaniga,Tottenham,0,0,0,0,0,0
David de Gea\David-de-Gea,Manchester Utd,1,1,1,0,2,1
Rachid Ghezzal\Rachid-Ghezzal,Leicester City,13,9,11,7,5,0
Morgan Gibbs-White\Morgan-Gibbs-White,Wolves,5,2,5,2,3,0
Ben Gibson\Ben-Gibson,Burnley,2,2,1,0,3,0
Olivier Giroud\Olivier-Giroud,Chelsea,4,2,6,3,4,0
André Gomes\Andre-Gomes,Everton,43,32,32,20,21,0
Angel Gomes\Angel-Gomes,Manchester Utd,1,0,0,0,0,0
Joe Gomez\Joe-Gomez,Liverpool,16,11,14,15,33,1
Jon Gorenc Stankovi?\Jon-Gorenc-Stankovic,Huddersfield,25,15,20,11,36,1
Dan Gosling\Dan-Gosling,Bournemouth,45,25,37,22,38,1
Karlan Grant\Karlan-Grant,Huddersfield,2,1,9,1,2,0
Andre Gray\Andre-Gray,Watford,3,3,5,2,3,0
Demarai Gray\Demarai-Gray,Leicester City,19,13,26,9,12,0
Mason Greenwood\Mason-Greenwood,Manchester Utd,3,1,2,0,1,0
Pascal Groß\Pascal-Gross,Brighton,24,15,33,15,22,0
Vicente Guaita\Vicente-Guaita,Crystal Palace,0,0,1,0,2,1
Mattéo Guendouzi\Matteo-Guendouzi,Arsenal,36,25,37,27,28,1
?lkay Gündo?an\Ilkay-Gundogan,Manchester City,17,10,30,29,23,0
Angus Gunn\Angus-Gunn,Southampton,0,0,0,0,1,1
Aron Gunnarsson\Aron-Gunnarsson,Cardiff City,63,48,49,38,47,1
Florent Hadergjonaj\Florent-Hadergjonaj,Huddersfield,30,11,46,22,30,2
Ben Hamer\Ben-Hamer,Huddersfield,0,0,0,1,0,0
Kadeem Harris\Kadeem-Harris,Cardiff City,7,2,3,3,3,0
Joe Hart\Joe-Hart,Burnley,0,0,0,0,0,0
Isaac Hayden\Isaac-Hayden,Newcastle Utd,66,43,46,38,42,1
Eden Hazard\Eden-Hazard,Chelsea,8,6,14,10,1,0
Rhys Healey\Rhys-Healey,Cardiff City,1,0,0,0,0,0
Tom Heaton\Tom-Heaton,Burnley,0,0,0,0,1,1
Jordan Henderson\Jordan-Henderson,Liverpool,44,37,42,32,22,0
Jeff Hendrick\Jeff-Hendrick,Burnley,36,25,29,13,26,0
Wayne Hennessey\Wayne-Hennessey,Crystal Palace,0,0,0,0,0,0
Javier Hernández\Javier-Hernandez,West Ham,3,2,5,2,8,0
Ander Herrera\Ander-Herrera,Manchester Utd,54,37,38,39,24,0
Son Heung-min\Son-Heung-min,Tottenham,18,7,27,8,5,0
Gonzalo Higuaín\Gonzalo-Higuain,Chelsea,6,5,6,1,4,0
Wesley Hoedt\Wesley-Hoedt,Southampton,26,11,23,23,62,0
Jonathan Hogg\Jonathan-Hogg,Huddersfield,83,60,57,69,23,0
Junior Hoilett\Junior-Hoilett,Cardiff City,42,24,42,29,22,0
Rob Holding\Rob-Holding,Arsenal,14,10,19,10,32,0
José Holebas\Jose-Holebas,Watford,68,45,48,19,82,0
Mason Holgate\Mason-Holgate,Everton,5,2,5,3,19,0
Callum Hudson-Odoi\Callum-Hudson-Odoi,Chelsea,8,6,2,3,0,0
Will Hughes\Will-Hughes,Watford,71,42,71,25,26,0
Emerson Hyndman\Emerson-Hyndman,Bournemouth,4,2,1,1,0,0
Pierre Højbjerg\Pierre-Hojbjerg,Southampton,80,64,60,64,30,1
Jordon Ibe\Jordon-Ibe,Bournemouth,4,3,3,4,5,0
Vicente Iborra\Vicente-Iborra,Leicester City,5,4,3,5,4,0
Kelechi Iheanacho\Kelechi-Iheanacho,Leicester City,8,6,6,2,2,0
Danny Ings\Danny-Ings,Southampton,26,16,20,4,8,1
Alex Iwobi\Alex-Iwobi,Arsenal,23,17,27,12,4,0
José Izquierdo\Jose-Izquierdo,Brighton,18,8,10,5,9,0
Phil Jagielka\Phil-Jagielka,Everton,8,5,7,2,23,0
Alireza Jahanbakhsh\Alireza-Jahanbakhsh,Brighton,39,24,12,11,7,0
Daryl Janmaat\Daryl-Janmaat,Watford,33,16,35,30,58,0
Vincent Janssen\Vincent-Janssen,Tottenham,1,0,0,0,0,0
Carl Jenkinson\Carl-Jenkinson,Arsenal,4,3,3,0,2,0
Gabriel Jesus\Gabriel-Jesus,Manchester City,9,6,14,2,2,0
Raúl Jiménez\Raul-Jimenez,Wolves,26,17,23,27,40,0
Stefan Johansen\Stefan-Johansen,Fulham,8,5,9,3,4,0
Ben Johnson\Ben-Johnson,West Ham,1,1,3,1,1,0
Tyreke Johnson\Tyreke-Johnson,Southampton,0,0,0,0,0,0
Phil Jones\Phil-Jones,Manchester Utd,26,18,26,22,86,1
Jorginho\Jorginho,Chelsea,75,55,55,67,28,0
Joselu\Joselu,Newcastle Utd,10,7,7,3,14,0
Diogo Jota\Diogo-Jota,Wolves,29,19,22,14,9,0
Mathias Jørgensen\Mathias-Jorgensen,Huddersfield,45,22,39,64,112,0
Christian Kabasele\Christian-Kabasele,Watford,30,18,38,37,93,1
Elias Kachunga\Elias-Kachunga,Huddersfield,22,9,15,4,13,0
Aboubakar Kamara\Aboubakar-Kamara,Fulham,10,8,12,1,5,0
Harry Kane\Harry-Kane,Tottenham,11,7,18,1,13,0
N'Golo Kanté\NGolo-Kante,Chelsea,78,61,72,45,26,0
Beram Kayal\Beram-Kayal,Brighton,33,27,23,16,28,0
Michael Keane\Michael-Keane,Everton,37,27,53,47,222,3
Neeskens Kebano\Neeskens-Kebano,Fulham,3,2,3,0,3,0
Naby Keïta\Naby-Keita,Liverpool,39,20,36,13,13,0
Martin Kelly\Martin-Kelly,Crystal Palace,21,14,25,11,103,3
Kenedy\Kenedy,Newcastle Utd,33,23,31,30,20,0
Jonjoe Kenny\Jonjoe-Kenny,Everton,22,12,20,16,25,0
Max Kilman\Max-Kilman,Wolves,0,0,0,0,0,0
Joshua King\Joshua-King,Bournemouth,32,25,45,6,12,0
Anthony Knockaert\Anthony-Knockaert,Brighton,28,17,24,29,10,0
Sead Kolašinac\Sead-Kolasinac,Arsenal,32,18,18,22,40,2
Vincent Kompany\Vincent-Kompany,Manchester City,13,9,14,15,61,0
Terence Kongolo\Terence-Kongolo,Huddersfield,83,45,57,66,103,0
Laurent Koscielny\Laurent-Koscielny,Arsenal,19,10,27,29,95,1
Cheikhou Kouyaté\Cheikhou-Kouyate,Crystal Palace,54,34,46,17,43,1
Mateo Kova?i?\Mateo-Kovacic,Chelsea,49,34,18,9,14,0
Rajiv van La Parra\Rajiv-van-La-Parra,Huddersfield,8,6,3,4,0,0
Alexandre Lacazette\Alexandre-Lacazette,Arsenal,35,28,30,15,22,0
Adam Lallana\Adam-Lallana,Liverpool,16,11,16,3,4,0
