,,Tackles,Tackles,Blocks,,,
Érik Lamela\Erik-Lamela,Tottenham,21,15,15,8,2,0
Manuel Lanzini\Manuel-Lanzini,West Ham,10,9,7,7,3,0
Aymeric Laporte\Aymeric-Laporte,Manchester City,44,27,29,38,124,0
Jamaal Lascelles\Jamaal-Lascelles,Newcastle Utd,35,16,65,39,199,1
Maxime Le Marchand\Maxime-Le-Marchand,Fulham,58,30,48,55,138,1
Florian Lejeune\Florian-Lejeune,Newcastle Utd,29,14,29,20,58,1
Mario Lemina\Mario-Lemina,Southampton,51,40,25,42,23,0
Aaron Lennon\Aaron-Lennon,Burnley,33,20,29,8,8,0
Bernd Leno\Bernd-Leno,Arsenal,0,0,0,3,0,2
Jefferson Lerma\Jefferson-Lerma,Bournemouth,46,35,51,55,84,0
Stephan Lichtsteiner\Stephan-Lichtsteiner,Arsenal,12,5,19,8,29,1
Victor Lindelöf\Victor-Lindelof,Manchester Utd,34,21,35,24,139,0
Jesse Lingard\Jesse-Lingard,Manchester Utd,20,10,23,10,6,0
Fernando Llorente\Fernando-Llorente,Tottenham,4,3,8,2,14,0
Hugo Lloris\Hugo-Lloris,Tottenham,0,0,0,3,2,0
Jürgen Locadia\Jurgen-Locadia,Brighton,22,14,16,9,11,0
Ruben Loftus-Cheek\Ruben-Loftus-Cheek,Chelsea,18,15,17,13,6,0
Kevin Long\Kevin-Long,Burnley,21,13,12,6,27,0
Shane Long\Shane-Long,Southampton,11,5,13,5,16,0
Sean Longstaff\Sean-Longstaff,Newcastle Utd,25,19,19,8,12,0
Ademola Lookman\Ademola-Lookman,Everton,15,8,11,8,2,0
Jonas Lössl\Jonas-Lossl,Huddersfield,0,0,1,1,2,1
Dejan Lovren\Dejan-Lovren,Liverpool,17,10,18,10,70,3
Chris Löwe\Chris-Lowe,Huddersfield,38,10,39,19,52,0
Matthew Lowton\Matthew-Lowton,Burnley,58,34,50,26,73,0
David Luiz\David-Luiz,Chelsea,52,34,45,36,139,0
Romelu Lukaku\Romelu-Lukaku,Manchester Utd,11,8,12,2,23,0
James Maddison\James-Maddison,Leicester City,59,34,31,13,6,0
Gary Madine\Gary-Madine,Cardiff City,1,1,0,0,0,0
Harry Maguire\Harry-Maguire,Leicester City,33,19,49,36,152,1
Riyad Mahrez\Riyad-Mahrez,Manchester City,14,10,20,9,5,0
Ainsley Maitland-Niles\Ainsley-Maitland-Niles,Arsenal,35,23,29,19,18,0
Sadio Mané\Sadio-Mane,Liverpool,46,31,36,16,6,0
Javier Manquillo\Javier-Manquillo,Newcastle Utd,33,15,28,16,34,0
Solly March\Solly-March,Brighton,47,24,63,28,24,0
Adrian Mariappa\Adrian-Mariappa,Watford,40,14,28,25,134,2
Lazar Markovi?\Lazar-Markovic,Fulham,0,0,0,1,1,0
Anthony Martial\Anthony-Martial,Manchester Utd,19,16,18,3,6,0
Adam Masina\Adam-Masina,Watford,26,14,27,16,34,0
Arthur Masuaku\Arthur-Masuaku,West Ham,53,36,48,36,53,0
Juan Mata\Juan-Mata,Manchester Utd,6,3,13,6,7,0
Nemanja Mati?\Nemanja-Matic,Manchester Utd,49,29,55,31,67,0
Joël Matip\Joel-Matip,Liverpool,32,23,17,31,89,2
Konstantinos Mavropanos\Konstantinos-Mavropanos,Arsenal,4,2,1,5,7,0
Alfie Mawson\Alfie-Mawson,Fulham,11,6,24,19,76,2
Isaac Mbenza\Isaac-Mbenza,Huddersfield,14,7,6,6,3,0
James McArthur\James-McArthur,Crystal Palace,89,56,95,43,40,0
Alex McCarthy\Alex-McCarthy,Southampton,0,0,0,0,0,1
James McCarthy\James-McCarthy,Everton,1,0,1,1,0,0
Kevin McDonald\Kevin-McDonald,Fulham,10,10,9,11,16,0
Dwight McNeil\Dwight-McNeil,Burnley,25,11,35,14,30,0
Scott McTominay\Scott-McTominay,Manchester Utd,16,13,12,14,21,0
Ben Mee\Ben-Mee,Burnley,54,24,83,44,279,6
Nathaniel Mendez-Laing\Nathaniel-Mendez-Laing,Cardiff City,35,23,31,11,16,0
Benjamin Mendy\Benjamin-Mendy,Manchester City,15,8,16,10,14,1
Nampalys Mendy\Nampalys-Mendy,Leicester City,40,23,40,27,22,0
Chris Mepham\Chris-Mepham,Bournemouth,10,4,18,15,64,1
Max Meyer\Max-Meyer,Crystal Palace,34,16,17,17,15,0
Luka Milivojevi?\Luka-Milivojevic,Crystal Palace,93,67,80,72,75,2
James Milner\James-Milner,Liverpool,44,26,50,16,19,1
Yerry Mina\Yerry-Mina,Everton,17,12,16,7,61,0
Tyrone Mings\Tyrone-Mings,Bournemouth,3,2,3,7,7,0
Aleksandar Mitrovi?\Aleksandar-Mitrovic,Fulham,16,10,36,8,49,0
Henrikh Mkhitaryan\Henrikh-Mkhitaryan,Arsenal,28,18,32,17,11,0
Nacho Monreal\Nacho-Monreal,Arsenal,36,27,37,28,81,0
Martín Montoya\Martin-Montoya,Brighton,56,26,46,49,62,1
Aaron Mooy\Aaron-Mooy,Huddersfield,66,43,50,16,24,0
Álvaro Morata\Alvaro-Morata,Chelsea,9,6,6,0,7,0
Alberto Moreno\Alberto-Moreno,Liverpool,4,2,2,1,1,0
Wes Morgan\Wes-Morgan,Leicester City,29,16,41,29,110,3
Sean Morrison\Sean-Morrison,Cardiff City,45,30,59,54,198,3
Victor Moses\Victor-Moses,Chelsea,0,0,1,0,0,0
Steve Mounié\Steve-Mounie,Huddersfield,14,8,16,5,14,1
Lucas Moura\Lucas-Moura,Tottenham,33,23,19,24,24,0
Lys Mousset\Lys-Mousset,Bournemouth,5,4,4,1,2,0
João Moutinho\Joao-Moutinho,Wolves,99,65,71,38,43,1
Jacob Murphy\Jacob-Murphy,Newcastle Utd,6,4,6,2,4,0
Josh Murphy\Josh-Murphy,Cardiff City,25,9,38,12,9,0
Glenn Murray\Glenn-Murray,Brighton,14,7,32,2,15,0
Shkodran Mustafi\Shkodran-Mustafi,Arsenal,63,36,50,59,190,1
Yoshinori Mut?\Yoshinori-Muto,Newcastle Utd,11,7,14,5,4,0
Georges-Kévin N'Koudou\Georges-Kevin-NKoudou,Tottenham,0,0,0,0,0,0
Samir Nasri\Samir-Nasri,West Ham,0,0,1,1,1,0
Marc Navarro\Marc-Navarro,Watford,3,1,2,0,3,0
Wilfred Ndidi\Wilfred-Ndidi,Leicester City,160,109,81,80,92,0
Rúben Neves\Ruben-Neves,Wolves,64,39,75,73,52,1
Oumar Niasse\Oumar-Niasse,Everton,0,0,0,0,0,0
Oumar Niasse\Oumar-Niasse,Cardiff City,11,6,14,2,7,0
Eddie Nketiah\Eddie-Nketiah,Arsenal,1,1,0,0,1,0
Mark Noble\Mark-Noble,West Ham,55,38,19,21,8,0
Håvard Nordtveit\Havard-Nordtveit,Fulham,6,3,6,6,19,1
Will Norris\Will-Norris,Wolves,0,0,0,0,0,0
Michael Obafemi\Michael-Obafemi,Southampton,1,1,2,1,0,0
Pedro Obiang\Pedro-Obiang,West Ham,39,25,25,14,16,0
Denis Odoi\Denis-Odoi,Fulham,55,37,74,38,159,0
Angelo Ogbonna\Angelo-Ogbonna,West Ham,38,23,48,34,111,0
Stefano Okaka\Stefano-Okaka,Watford,0,0,1,0,0,0
Shinji Okazaki\Shinji-Okazaki,Leicester City,6,4,9,2,0,0
Divock Origi\Divock-Origi,Liverpool,6,4,3,1,1,0
Nicolás Otamendi\Nicolas-Otamendi,Manchester City,29,16,11,28,77,0
Alex Oxlade-Chamberlain\Alex-Oxlade-Chamberlain,Liverpool,1,0,2,1,0,0
Mesut Özil\Mesut-Ozil,Arsenal,9,5,9,5,2,0
Emerson Palmieri\Emerson-Palmieri,Chelsea,17,8,17,6,11,0
Sokratis Papastathopoulos\Sokratis-Papastathopoulos,Arsenal,50,32,42,27,138,0
Callum Paterson\Callum-Paterson,Cardiff City,30,15,38,8,35,0
Rui Patrício\Rui-Patricio,Wolves,0,0,0,0,2,2
Pedro\Pedro,Chelsea,23,15,24,17,6,0
Lee Peltier\Lee-Peltier,Cardiff City,38,19,31,17,59,1
Andreas Pereira\Andreas-Pereira,Manchester Utd,8,6,14,9,6,0
Ricardo Pereira\Ricardo-Pereira,Leicester City,119,70,103,63,98,0
Roberto Pereyra\Roberto-Pereyra,Watford,24,20,50,20,19,1
Ayoze Pérez\Ayoze-Perez,Newcastle Utd,52,35,72,42,34,1
Lucas Pérez\Lucas-Perez,West Ham,4,3,2,3,2,0
Jordan Pickford\Jordan-Pickford,Everton,0,0,0,0,3,3
Paul Pogba\Paul-Pogba,Manchester Utd,47,37,42,20,30,0
Alex Pritchard\Alex-Pritchard,Huddersfield,28,18,37,17,7,0
Sebastian Prödl\Sebastian-Prodl,Watford,0,0,0,0,0,0
Davy Pröpper\Davy-Propper,Brighton,49,36,50,52,37,0
Jason Puncheon\Jason-Puncheon,Crystal Palace,0,0,0,0,0,0
Jason Puncheon\Jason-Puncheon,Huddersfield,7,4,4,4,7,0
Collin Quaner\Collin-Quaner,Huddersfield,0,0,0,0,0,0
Domingos Quina\Domingos-Quina,Watford,13,8,4,4,5,0
Joe Ralls\Joe-Ralls,Cardiff City,50,37,35,27,27,0
Aaron Ramsey\Aaron-Ramsey,Arsenal,31,19,9,7,2,0
Kayne Ramsey\Kayne-Ramsey,Southampton,3,2,0,0,8,0
Marcus Rashford\Marcus-Rashford,Manchester Utd,19,9,24,4,18,0
Tim Ream\Tim-Ream,Fulham,25,14,31,23,101,0
Nathan Redmond\Nathan-Redmond,Southampton,43,29,57,22,11,0
Bobby Reid\Bobby-Reid,Cardiff City,12,9,8,4,14,0
Declan Rice\Declan-Rice,West Ham,93,68,54,50,59,0
Jazz Richards\Jazz-Richards,Cardiff City,1,1,2,2,6,0
Richarlison\Richarlison,Everton,55,34,33,15,35,0
Diego Rico\Diego-Rico,Bournemouth,12,5,17,14,21,0
Sergio Rico\Sergio-Rico,Fulham,0,0,0,1,0,0
Matt Ritchie\Matt-Ritchie,Newcastle Utd,65,40,68,57,59,0
Andrew Robertson\Andrew-Robertson,Liverpool,76,44,53,31,54,1
Marcos Rojo\Marcos-Rojo,Manchester Utd,5,3,7,6,9,1
Oriol Romeu\Oriol-Romeu,Southampton,86,60,60,46,50,0
Salomón Rondón\Salomon-Rondon,Newcastle Utd,11,8,19,6,38,0
Danny Rose\Danny-Rose,Tottenham,51,29,40,23,25,0
Aaron Rowe\Aaron-Rowe,Huddersfield,2,1,1,1,3,0
John Ruddy\John-Ruddy,Wolves,0,0,0,0,0,0
Antonio Rüdiger\Antonio-Rudiger,Chelsea,38,20,28,29,106,1
Mathew Ryan\Mathew-Ryan,Brighton,0,0,0,0,1,0
Abdelhamid Sabiri\Abdelhamid-Sabiri,Huddersfield,2,1,1,1,0,0
Romain Saïss\Romain-Saiss,Wolves,45,23,35,28,85,0
Bukayo Saka\Bukayo-Saka,Arsenal,0,0,0,0,0,0
Mamadou Sakho\Mamadou-Sakho,Crystal Palace,28,15,45,42,153,2
Bakary Sako\Bakary-Sako,Crystal Palace,2,1,0,0,0,0
Mohamed Salah\Mohamed-Salah,Liverpool,16,14,20,5,3,0
Alexis Sánchez\Alexis-Sanchez,Manchester Utd,14,8,7,9,2,0
Carlos Sánchez\Carlos-Sanchez,West Ham,2,1,1,1,3,1
Davinson Sánchez\Davinson-Sanchez,Tottenham,36,23,30,27,113,0
Leroy Sané\Leroy-Sane,Manchester City,23,19,28,9,2,0
Fabian Schär\Fabian-Schar,Newcastle Utd,63,28,54,65,147,0
Christopher Schindler\Christopher-Schindler,Huddersfield,75,45,81,67,178,1
Jeffrey Schlupp\Jeffrey-Schlupp,Crystal Palace,41,19,45,22,22,0
Kasper Schmeichel\Kasper-Schmeichel,Leicester City,0,0,0,3,2,0
Morgan Schneiderlin\Morgan-Schneiderlin,Everton,24,14,16,15,21,0
André Schürrle\Andre-Schurrle,Fulham,22,16,20,8,15,0
Ken Sema\Ken-Sema,Watford,13,9,16,8,4,0
Jean Seri\Jean-Seri,Fulham,47,35,45,33,16,0
Ryan Sessegnon\Ryan-Sessegnon,Fulham,37,25,55,17,29,0
Xherdan Shaqiri\Xherdan-Shaqiri,Liverpool,9,4,11,5,5,0
Luke Shaw\Luke-Shaw,Manchester Utd,45,25,59,22,83,0
Jonjo Shelvey\Jonjo-Shelvey,Newcastle Utd,19,9,13,8,15,0
Gylfi Sigurðsson\Gylfi-Sigurdsson,Everton,47,31,49,29,21,0
Adrien Silva\Adrien-Silva,Leicester City,2,1,0,1,1,0
Bernardo Silva\Bernardo-Silva,Manchester City,58,46,53,27,19,0
David Silva\David-Silva,Manchester City,27,22,24,19,13,0
Xande Silva\Xande-Silva,West Ham,0,0,1,0,0,0
Danny Simpson\Danny-Simpson,Leicester City,9,7,12,6,16,0
Jack Simpson\Jack-Simpson,Bournemouth,7,4,10,10,42,0
Josh Sims\Josh-Sims,Southampton,1,0,2,1,1,0
Moussa Sissoko\Moussa-Sissoko,Tottenham,45,30,41,16,24,0
Oliver Skipp\Oliver-Skipp,Tottenham,5,3,4,1,4,0
Callum Slattery\Callum-Slattery,Southampton,4,2,5,2,2,0
Chris Smalling\Chris-Smalling,Manchester Utd,29,15,53,27,141,1
Adam Smith\Adam-Smith,Bournemouth,49,28,56,32,67,1
Tommy Smith\Tommy-Smith,Huddersfield,25,15,18,18,33,0
Robert Snodgrass\Robert-Snodgrass,West Ham,45,27,26,11,19,0
Cédric Soares\Cedric-Soares,Southampton,28,17,36,21,41,1
Ramadan Sobhi\Ramadan-Sobhi,Huddersfield,2,2,3,0,0,0
Dominic Solanke\Dominic-Solanke,Bournemouth,8,6,7,2,5,0
Pape Souaré\Pape-Souare,Crystal Palace,0,0,0,0,0,0
Ça?lar Söyüncü\Caglar-Soyuncu,Leicester City,7,5,6,6,33,1
Julián Speroni\Julian-Speroni,Crystal Palace,0,0,0,0,0,1
Junior Stanislas\Junior-Stanislas,Bournemouth,11,7,13,3,11,0
Dale Stephens\Dale-Stephens,Brighton,76,53,40,49,59,1
Jack Stephens\Jack-Stephens,Southampton,24,15,31,34,121,0
Raheem Sterling\Raheem-Sterling,Manchester City,29,17,36,16,6,0
John Stones\John-Stones,Manchester City,15,11,29,15,67,0
Daniel Sturridge\Daniel-Sturridge,Liverpool,3,2,1,2,1,0
Denis Suárez\Denis-Suarez,Arsenal,1,1,0,1,0,0
Isaac Success\Isaac-Success,Watford,21,17,10,2,9,0
Ki Sung-yueng\Ki-Sung-yueng,Newcastle Utd,15,10,18,20,15,1
Andrew Surman\Andrew-Surman,Bournemouth,13,8,29,10,31,0
Sam Surridge\Sam-Surridge,Bournemouth,0,0,0,0,0,0
Alexander Sørloth\Alexander-Sorloth,Crystal Palace,1,1,2,0,3,0
Matt Targett\Matt-Targett,Southampton,27,15,38,26,34,0
James Tarkowski\James-Tarkowski,Burnley,71,39,95,40,259,3
Charlie Taylor\Charlie-Taylor,Burnley,56,34,125,35,111,1
Youri Tielemans\Youri-Tielemans,Leicester City,14,11,19,4,15,0
James Tomkins\James-Tomkins,Crystal Palace,45,28,36,39,205,2
Lucas Torreira\Lucas-Torreira,Arsenal,57,46,39,41,41,0
Cenk Tosun\Cenk-Tosun,Everton,13,11,8,5,2,0
Andros Townsend\Andros-Townsend,Crystal Palace,60,39,63,37,18,0
Adama Traoré\Adama-Traore,Wolves,16,8,10,6,8,0
Mark Travers\Mark-Travers,Bournemouth,0,0,0,0,0,0
Kieran Trippier\Kieran-Trippier,Tottenham,66,38,55,23,67,2
Antonio Valencia\Antonio-Valencia,Manchester Utd,10,4,14,5,7,0
Yan Valery\Yan-Valery,Southampton,50,27,51,20,48,1
Jamie Vardy\Jamie-Vardy,Leicester City,20,13,25,5,28,0
Jan Vertonghen\Jan-Vertonghen,Tottenham,40,31,36,33,93,3
Jannik Vestergaard\Jannik-Vestergaard,Southampton,55,33,45,34,165,4
Luciano Vietto\Luciano-Vietto,Fulham,15,12,10,6,3,0
Rúben Vinagre\Ruben-Vinagre,Wolves,12,7,13,14,11,0
Sam Vokes\Sam-Vokes,Burnley,5,0,7,0,16,0
Michel Vorm\Michel-Vorm,Tottenham,0,0,0,0,0,0
Mat?j Vydra\Matej-Vydra,Burnley,4,3,4,1,2,0
Theo Walcott\Theo-Walcott,Everton,26,14,25,23,13,0
Kyle Walker\Kyle-Walker,Manchester City,46,31,38,38,68,0
Kyle Walker-Peters\Kyle-Walker-Peters,Tottenham,6,2,6,5,4,0
Aaron Wan-Bissaka\Aaron-Wan-Bissaka,Crystal Palace,134,60,103,86,153,1
Victor Wanyama\Victor-Wanyama,Tottenham,21,14,13,7,11,0
Danny Ward\Danny-Ward,Cardiff City,1,1,9,1,9,0
Joel Ward\Joel-Ward,Crystal Palace,13,8,19,10,29,1
Stephen Ward\Stephen-Ward,Burnley,2,2,5,3,8,0
James Ward-Prowse\James-Ward-Prowse,Southampton,43,22,34,24,40,1
Danny Welbeck\Danny-Welbeck,Arsenal,3,3,4,1,1,0
Ashley Westwood\Ashley-Westwood,Burnley,63,40,56,46,45,0
Connor Wickham\Connor-Wickham,Crystal Palace,0,0,1,0,2,0
Georginio Wijnaldum\Georginio-Wijnaldum,Liverpool,43,32,29,24,22,0
Danny Williams\Danny-Williams,Huddersfield,1,0,1,1,1,0
Willian\Willian,Chelsea,37,25,21,14,7,0
Joe Willock\Joe-Willock,Arsenal,1,0,0,1,1,0
Ben Wilmot\Ben-Wilmot,Watford,0,0,4,0,0,0
Jack Wilshere\Jack-Wilshere,West Ham,5,4,5,7,2,0
Callum Wilson\Callum-Wilson,Bournemouth,11,9,12,6,14,0
Harry Winks\Harry-Winks,Tottenham,24,21,21,21,17,0
Chris Wood\Chris-Wood,Burnley,10,9,27,3,22,1
Granit Xhaka\Granit-Xhaka,Arsenal,62,38,34,33,63,1
Andriy Yarmolenko\Andriy-Yarmolenko,West Ham,2,2,9,2,1,0
DeAndre Yedlin\DeAndre-Yedlin,Newcastle Utd,52,27,76,29,69,0
Maya Yoshida\Maya-Yoshida,Southampton,19,10,45,44,111,2
Ashley Young\Ashley-Young,Manchester Utd,56,29,56,53,61,0
Pablo Zabaleta\Pablo-Zabaleta,West Ham,52,28,50,48,89,3
Wilfried Zaha\Wilfried-Zaha,Crystal Palace,43,33,31,9,2,0
Andre-Frank Zambo Anguissa\Andre-Frank-Zambo-Anguissa,Fulham,45,33,26,30,29,0
Davide Zappacosta\Davide-Zappacosta,Chelsea,1,1,4,3,3,0
Oleksandr Zinchenko\Oleksandr-Zinchenko,Manchester City,31,16,18,22,28,0
Kenneth Zohore\Kenneth-Zohore,Cardiff City,3,1,8,2,5,0
Kurt Zouma\Kurt-Zouma,Everton,34,20,48,50,160,2
