Player,Pos,Squad,Min,Mn/MP,90s,Subs,Gls,Sh,SoT,Sh/90,SoT/90,PK,PKatt,xG,Cmp,Att,Cmp%,Ast,xA,KP,FinalThird,PPA,CrsPA,Tkl,TklW,Blocks,Int,Clr,Err,CrdY,CrdR,Fls,Off,OG,Recov,total_points,CBI,PK_miss,succ_tackle
Patrick van Aanholt,DF,Crystal Palace,3195.0,89.0,35.5,0,3,44,12,1.24,0.34,0,0,2.7,1587,1962,80.9,2,3.9,34,115,63,9,46,32,61,42,98,1,3,0,12,11,0,331,140,201,0,18
Sergio Agüero,FW,Manchester City,2459.0,75.0,27.3,2,21,118,41,4.32,1.5,2,2,20.7,665,785,84.7,8,5.5,34,37,44,1,17,14,22,8,1,0,4,0,22,26,0,129,201,31,0,11
Nathan Aké,DF,Bournemouth,3411.0,90.0,37.9,0,4,22,8,0.58,0.21,0,0,3.4,1469,1701,86.4,0,0.8,5,92,7,3,60,37,70,32,237,0,3,0,28,2,0,353,120,339,0,14
Marc Albrighton,FW,Leicester City,1625.0,60.0,18.1,9,2,19,7,1.05,0.39,0,0,1.1,459,776,59.1,2,3.1,30,48,29,12,37,23,30,22,19,0,3,0,10,2,0,157,63,71,0,9
Toby Alderweireld,DF,Tottenham,2922.0,86.0,32.5,1,0,17,6,0.52,0.18,0,0,1.1,2067,2342,88.3,0,0.6,7,193,23,1,41,23,54,25,162,1,3,0,10,1,1,356,107,241,0,5
Trent Alexander-Arnold,DF,Liverpool,2462.0,85.0,27.4,2,1,29,9,1.06,0.33,0,0,1.5,1644,2213,74.3,12,6.1,48,129,59,25,57,28,35,35,65,1,3,0,14,4,0,290,185,135,0,-1
Dele Alli,MF,Tottenham,1825.0,73.0,20.3,3,5,40,18,1.97,0.89,0,0,5.3,843,1050,80.3,3,2.4,28,81,32,2,32,26,36,18,15,0,4,0,23,3,0,180,94,69,0,20
Miguel Almirón,FW,Newcastle Utd,759.0,76.0,8.4,1,0,19,8,2.25,0.95,0,0,1.7,188,260,72.3,0,0.8,12,16,14,9,17,11,16,9,5,0,0,0,6,4,0,84,28,30,0,5
Marcos Alonso,DF,Chelsea,2759.0,89.0,30.7,0,2,43,7,1.4,0.23,0,0,2.7,1838,2226,82.6,4,3.9,31,114,23,9,67,38,60,38,86,1,6,0,28,2,0,353,161,184,0,9
Daniel Amartey,DF,Leicester City,641.0,71.0,7.1,2,0,4,1,0.56,0.14,0,0,0.4,354,433,81.8,0,0.2,3,31,0,0,16,8,14,15,18,0,2,0,6,1,0,92,15,47,0,0
Luke Amos,MF,Tottenham,3.0,3.0,0.0,1,0,0,0,0.0,0.0,0,0,0.0,1,2,50.0,0,0.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1
Felipe Anderson,FW,West Ham,3043.0,85.0,33.8,0,9,58,24,1.72,0.71,0,0,5.2,1328,1819,73.0,4,6.7,60,109,89,13,76,44,67,45,10,0,3,0,27,5,0,295,155,122,0,12
Florin Andone,FW,Brighton,881.0,38.0,9.8,15,3,19,7,1.94,0.72,0,0,2.2,122,180,67.8,0,0.1,2,4,2,1,11,9,9,5,11,0,5,0,28,4,0,53,38,25,0,7
Michail Antonio,FW,West Ham,2103.0,64.0,23.4,11,6,65,25,2.78,1.07,0,0,7.4,513,777,66.0,4,3.4,20,43,19,8,31,22,52,19,29,0,3,0,35,10,0,154,118,100,0,13
Stuart Armstrong,MF,Southampton,1432.0,49.0,15.9,13,3,32,12,2.01,0.75,0,0,2.3,498,652,76.4,2,1.4,28,39,26,2,32,14,21,12,8,0,2,0,19,3,0,125,75,41,0,-4
Marko Arnautovic,FW,West Ham,1990.0,71.0,22.1,4,10,62,30,2.8,1.36,1,1,9.5,496,655,75.7,4,3.6,33,21,17,2,10,6,12,3,7,0,3,0,31,21,0,79,117,22,0,2
Christian Atsu,MF,Newcastle Utd,1493.0,53.0,16.6,13,1,28,14,1.69,0.84,0,0,2.0,335,454,73.8,0,1.2,14,23,17,5,27,16,22,8,8,0,2,0,14,4,0,127,55,38,0,5
Pierre-Emerick Aubameyang,FW,Arsenal,2726.0,76.0,30.3,6,22,89,34,2.94,1.12,4,5,20.8,526,742,70.9,5,4.2,33,28,33,4,21,12,36,9,13,0,0,0,13,23,0,100,205,58,1,3
Serge Aurier,DF,Tottenham,564.0,71.0,6.3,2,0,4,1,0.64,0.16,0,0,0.1,253,343,73.8,2,0.5,5,9,11,7,22,12,14,8,16,1,1,0,17,1,0,72,24,38,0,2
Charlie Austin,FW,Southampton,983.0,39.0,10.9,14,2,33,8,3.02,0.73,0,1,3.6,127,208,61.1,2,0.4,9,4,4,0,10,5,11,2,14,0,1,0,14,9,0,50,46,27,1,0
Jordan Ayew,FW,Crystal Palace,1181.0,59.0,13.1,6,1,26,3,1.98,0.23,0,0,2.3,201,273,73.6,2,1.1,13,11,6,0,42,28,24,7,3,0,3,0,32,9,0,58,46,34,0,14
César Azpilicueta,DF,Chelsea,3402.0,90.0,37.8,0,1,17,7,0.45,0.19,0,0,0.9,2471,2892,85.4,5,2.3,25,160,47,19,98,56,78,44,92,0,4,0,40,2,0,411,158,214,0,14
Eric Bailly,DF,Manchester Utd,638.0,53.0,7.1,4,0,3,1,0.42,0.14,0,0,0.2,267,310,86.1,0,0.0,0,8,0,0,14,7,14,14,32,0,0,1,5,0,0,70,16,60,0,0
Leighton Baines,DF,Everton,375.0,63.0,4.2,1,0,2,1,0.48,0.24,0,0,0.1,206,261,78.9,0,0.2,4,16,2,1,7,4,5,4,4,1,0,0,2,1,0,31,7,13,0,1
Fabián Balbuena,DF,West Ham,2013.0,88.0,22.4,0,1,17,2,0.76,0.09,0,0,2.1,655,838,78.2,0,0.1,3,33,0,0,36,27,34,55,167,1,2,0,19,0,0,222,61,256,0,18
Leon Balogun,DF,Brighton,594.0,74.0,6.6,3,1,3,1,0.45,0.15,0,0,0.2,174,218,79.8,0,0.0,0,2,0,0,14,7,10,15,40,0,2,0,5,1,0,61,15,65,0,0
Phil Bardsley,DF,Burnley,1670.0,88.0,18.6,0,0,12,1,0.65,0.05,0,0,0.2,523,770,67.9,0,0.7,6,61,20,6,36,19,30,27,85,1,9,0,22,0,1,189,33,142,0,2
Ross Barkley,MF,Chelsea,1245.0,46.0,13.8,14,3,38,8,2.75,0.58,0,0,3.8,881,973,90.5,5,2.1,21,62,17,2,12,11,14,9,16,1,1,0,14,0,0,136,79,39,0,10
Ashley Barnes,FW,Burnley,2388.0,65.0,26.5,11,12,61,27,2.3,1.02,2,2,12.0,346,559,61.9,2,3.6,20,23,13,2,26,14,31,3,24,1,8,0,53,23,1,134,122,58,0,2
Harvey Barnes,FW,Leicester City,1004.0,63.0,11.2,5,1,39,11,3.5,0.99,0,0,3.2,257,344,74.7,2,1.4,16,16,13,4,8,4,10,3,4,0,0,0,7,2,0,65,43,17,0,0
Antonio Barreca,DF,Newcastle Utd,5.0,5.0,0.1,1,0,0,0,0.0,0.0,0,0,0.0,1,3,33.3,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Michy Batshuayi,FW,Crystal Palace,750.0,68.0,8.3,2,5,26,10,3.12,1.2,0,0,3.5,111,162,68.5,0,0.1,1,5,2,0,2,1,9,3,1,0,0,0,7,13,0,50,48,13,0,0
Jan Bednarek,DF,Southampton,2151.0,86.0,23.9,1,0,6,1,0.25,0.04,0,0,0.6,591,849,69.6,1,0.4,7,53,2,0,43,28,57,64,172,0,7,0,22,0,0,286,49,293,0,13
Héctor Bellerín,DF,Arsenal,1533.0,81.0,17.0,1,0,18,4,1.06,0.23,0,0,0.9,794,947,83.8,5,2.2,9,48,27,5,13,9,31,18,29,0,3,0,16,2,1,153,60,78,0,5
Ryan Bennett,DF,Wolves,3060.0,90.0,34.0,0,1,15,3,0.44,0.09,0,0,1.2,1095,1387,78.9,0,0.4,5,97,2,0,68,36,72,46,142,1,12,0,37,1,0,328,89,260,0,4
Christian Benteke,FW,Crystal Palace,814.0,51.0,9.0,7,1,29,8,3.21,0.88,0,0,3.3,139,243,57.2,1,1.3,8,8,2,0,5,4,5,0,13,0,1,0,18,10,0,38,33,18,0,3
Jóhann Berg Guðmundsson,MF,Burnley,1752.0,60.0,19.5,10,3,34,11,1.75,0.57,0,0,2.9,407,610,66.7,6,3.8,40,22,22,16,22,14,40,31,30,0,2,0,10,2,0,145,92,101,0,6
Bernard,FW,Everton,2116.0,62.0,23.5,9,1,24,5,1.02,0.21,0,0,2.6,633,867,73.0,3,3.2,40,45,34,9,48,32,52,27,10,0,5,0,17,2,0,199,88,89,0,16
Bernardo,DF,Brighton,1752.0,80.0,19.5,3,0,8,3,0.41,0.15,0,0,0.4,735,1014,72.5,1,0.9,9,54,10,3,66,39,53,33,76,0,4,0,18,2,0,214,39,162,0,12
Ryan Bertrand,DF,Southampton,2160.0,90.0,24.0,0,1,15,2,0.62,0.08,0,0,0.9,795,1094,72.7,0,1.9,23,68,29,13,36,19,36,30,46,0,8,0,27,0,0,205,56,112,0,2
Yves Bissouma,MF,Brighton,1774.0,63.0,19.7,11,0,31,3,1.57,0.15,0,0,1.6,596,727,82.0,0,1.1,14,52,7,1,61,40,39,31,31,1,5,0,40,2,0,181,43,101,0,19
Willy Boly,DF,Wolves,3167.0,88.0,35.2,0,4,22,6,0.63,0.17,0,0,2.7,1392,1695,82.1,0,0.9,10,122,7,0,80,45,76,68,202,2,2,1,29,3,0,386,120,346,0,10
Léo Bonatini,FW,Wolves,135.0,19.0,1.5,7,0,9,1,6.0,0.67,0,0,1.5,41,55,74.5,1,0.3,2,5,3,1,2,2,0,0,0,0,0,0,0,0,0,12,10,0,0,2
Gaëtan Bong,DF,Brighton,1808.0,82.0,20.1,3,0,2,0,0.1,0.0,0,0,0.1,598,879,68.0,0,0.6,8,46,18,10,22,15,46,24,54,0,0,0,11,0,0,197,48,124,0,8
Robbie Brady,MF,Burnley,720.0,45.0,8.0,10,0,12,2,1.5,0.25,0,0,0.7,162,287,56.4,1,1.4,13,15,11,6,12,8,17,8,13,1,3,1,12,0,0,71,20,38,0,4
Miguel Britos,DF,Watford,185.0,62.0,2.1,1,0,0,0,0.0,0.0,0,0,0.0,48,56,85.7,0,0.0,0,3,0,0,4,1,2,3,16,0,0,0,3,0,0,21,3,21,0,-2
David Brooks,MF,Bournemouth,2261.0,75.0,25.1,1,7,41,21,1.63,0.84,0,0,5.7,649,879,73.8,5,3.7,29,56,40,3,34,22,44,25,22,0,3,0,15,2,0,165,123,91,0,10
Bruno,DF,Brighton,1131.0,81.0,12.6,0,0,2,0,0.16,0.0,0,0,0.1,506,634,79.8,1,0.3,6,34,9,3,27,19,10,10,41,1,2,0,4,3,0,97,46,61,0,11
Gary Cahill,DF,Chelsea,24.0,12.0,0.3,2,0,0,0,0.0,0.0,0,0,0.0,18,20,90.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0
Dominic Calvert-Lewin,FW,Everton,1784.0,51.0,19.8,16,6,55,17,2.77,0.86,0,0,5.2,283,441,64.2,2,1.1,10,22,7,1,13,8,29,7,16,0,3,0,34,6,0,86,92,52,0,3
Rafael Camacho,DF,Liverpool,1.0,1.0,0.0,1,0,0,0,0.0,0.0,0,0,0.0,0,0,-9.223372036854776e+18,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1
Étienne Capoue,MF,Watford,2944.0,89.0,32.7,0,1,17,3,0.52,0.09,0,0,1.0,1482,1778,83.4,3,0.9,9,152,18,1,90,67,63,86,76,0,14,1,47,0,0,466,79,225,0,44
Andy Carroll,FW,West Ham,461.0,38.0,5.1,9,0,14,6,2.73,1.17,0,0,1.9,86,131,65.6,0,0.2,3,4,0,0,2,1,5,1,10,1,2,0,11,3,0,25,12,16,0,0
Jonny Castro,DF,Wolves,2771.0,84.0,30.8,1,1,26,7,0.84,0.23,0,0,2.0,1124,1394,80.6,1,1.5,25,38,22,5,74,41,63,64,58,0,6,0,23,5,0,264,103,185,0,8
Craig Cathcart,DF,Watford,3096.0,86.0,34.4,1,3,16,6,0.47,0.17,0,0,1.8,1046,1278,81.8,0,0.4,1,61,3,1,52,30,55,36,184,2,2,0,18,1,2,381,93,275,0,8
Ivan Cavaleiro,FW,Wolves,693.0,30.0,7.7,17,3,12,4,1.56,0.52,0,0,2.2,252,356,70.8,1,1.5,17,13,12,8,11,5,8,4,4,0,1,0,13,6,0,48,48,16,0,-1
Nathaniel Chalobah,MF,Watford,270.0,30.0,3.0,6,0,2,1,0.67,0.33,0,0,0.1,93,121,76.9,0,0.0,0,10,1,0,5,2,3,5,4,0,2,0,5,0,0,43,10,12,0,-1
Ben Chilwell,DF,Leicester City,3240.0,90.0,36.0,0,0,20,10,0.56,0.28,0,0,0.8,1575,2239,70.3,4,3.0,40,99,36,16,56,36,73,38,114,0,4,0,32,2,0,348,118,225,0,16
Tahith Chong,FW,Manchester Utd,38.0,19.0,0.4,2,0,2,1,4.74,2.37,0,0,0.1,13,15,86.7,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0
Hamza Choudhury,MF,Leicester City,595.0,66.0,6.6,2,0,4,2,0.61,0.3,0,0,0.4,207,238,87.0,0,0.4,4,17,3,1,23,8,14,15,17,0,0,0,7,0,0,56,20,46,0,-7
Andreas Christensen,DF,Chelsea,617.0,77.0,6.9,2,0,0,0,0.0,0.0,0,0,0.0,416,446,93.3,0,0.0,0,22,0,0,10,4,8,4,32,0,1,0,8,0,0,86,22,44,0,-2
Ciaran Clark,DF,Newcastle Utd,858.0,78.0,9.5,2,3,7,3,0.73,0.31,0,0,0.4,225,302,74.5,0,0.4,3,15,3,0,15,10,14,12,46,0,1,0,6,0,0,106,42,72,0,5
Tom Cleverley,MF,Watford,478.0,37.0,5.3,9,1,3,1,0.56,0.19,0,0,0.2,175,229,76.4,0,0.0,0,15,5,0,18,14,4,4,12,0,2,0,8,1,0,58,25,20,0,10
Nathaniel Clyne,DF,Bournemouth,1143.0,82.0,12.7,1,0,2,0,0.16,0.0,0,0,0.3,454,588,77.2,1,0.2,5,21,10,3,29,13,19,17,39,0,2,0,9,0,0,119,34,75,0,-3
Conor Coady,DF,Wolves,3420.0,90.0,38.0,0,0,0,0,0.0,0.0,0,0,0.0,1412,1677,84.2,0,0.0,0,119,5,0,31,16,45,31,152,1,5,0,11,0,3,357,94,228,0,1
Séamus Coleman,DF,Everton,2558.0,88.0,28.4,0,2,13,5,0.46,0.18,0,0,1.2,1218,1583,76.9,2,2.3,22,97,25,14,50,32,40,27,81,1,1,0,22,3,1,317,125,148,0,14
Lewis Cook,MF,Bournemouth,723.0,56.0,8.0,5,0,3,0,0.37,0.0,0,0,0.1,328,400,82.0,0,0.1,2,30,7,1,14,8,8,7,8,0,2,0,12,0,0,97,22,23,0,2
Steve Cook,DF,Bournemouth,2786.0,90.0,31.0,0,1,22,8,0.71,0.26,0,0,1.1,1222,1573,77.7,1,1.2,12,88,5,1,35,21,45,50,242,1,3,0,18,1,1,343,85,337,0,7
Jack Cork,MF,Burnley,3312.0,90.0,36.8,0,1,15,2,0.41,0.05,0,0,1.7,1081,1349,80.1,2,1.6,17,102,16,2,46,27,57,29,76,0,6,0,32,4,0,423,87,162,0,8
Hélder Costa,FW,Wolves,1341.0,54.0,14.9,9,1,25,7,1.68,0.47,0,0,2.5,372,493,75.5,2,1.6,17,18,20,2,17,14,17,8,7,0,3,0,20,6,0,92,52,32,0,11
Aaron Cresswell,DF,West Ham,1589.0,79.0,17.7,2,0,11,0,0.62,0.0,0,0,0.5,835,1061,78.7,1,1.1,16,63,18,6,24,15,43,20,60,1,1,0,2,1,0,167,34,123,0,6
Peter Crouch,FW,Burnley,92.0,15.0,1.0,6,0,4,1,3.91,0.98,0,0,0.4,11,25,44.0,0,0.0,0,1,1,0,0,0,2,0,3,0,1,0,3,0,0,2,8,5,0,0
Diogo Dalot,DF,Manchester Utd,1013.0,63.0,11.3,4,0,15,0,1.33,0.0,0,0,0.4,395,556,71.0,2,1.7,17,23,14,7,22,13,25,8,36,1,3,0,12,2,0,105,27,69,0,4
Charlie Daniels,DF,Bournemouth,1585.0,75.0,17.6,4,1,13,3,0.74,0.17,0,0,0.5,785,1019,77.0,0,1.0,11,62,22,6,24,16,35,22,34,1,4,0,8,0,0,195,44,91,0,8
Danilo,DF,Manchester City,807.0,73.0,9.0,2,1,14,3,1.56,0.33,0,0,0.5,767,871,88.1,0,0.3,5,69,9,1,21,9,7,16,41,1,1,0,10,0,0,115,46,64,0,-3
Scott Dann,DF,Crystal Palace,663.0,66.0,7.4,3,0,6,1,0.81,0.14,0,0,0.3,190,243,78.2,1,0.0,0,10,0,0,5,1,24,5,62,0,1,0,4,0,0,62,23,91,0,-3
Matteo Darmian,DF,Manchester Utd,443.0,74.0,4.9,1,0,1,1,0.2,0.2,0,0,0.0,176,206,85.4,0,0.1,2,14,1,1,12,6,8,7,20,0,0,0,3,1,0,34,14,35,0,0
Ben Davies,DF,Tottenham,1844.0,68.0,20.5,7,0,15,1,0.73,0.05,0,0,0.8,1071,1314,81.5,0,1.9,17,82,21,7,44,24,39,23,66,0,2,0,18,0,0,211,66,128,0,4
Tom Davies,MF,Everton,980.0,61.0,10.9,6,0,7,2,0.64,0.18,0,0,0.3,414,525,78.9,0,0.5,5,49,8,0,27,13,13,17,5,0,3,0,21,1,0,125,26,35,0,-1
Steven Davis,MF,Southampton,98.0,33.0,1.1,2,0,0,0,0.0,0.0,0,0,0.0,65,69,94.2,1,0.7,3,6,3,1,3,3,4,2,4,0,0,0,2,1,0,14,9,10,0,3
Kevin De Bruyne,MF,Manchester City,975.0,51.0,10.8,8,2,31,11,2.86,1.02,0,0,2.1,625,819,76.3,2,3.5,33,66,44,8,20,16,9,3,3,0,2,0,10,1,0,91,59,15,0,12
Troy Deeney,FW,Watford,2545.0,80.0,28.3,4,9,61,28,2.16,0.99,1,1,9.3,522,836,62.4,5,4.7,40,61,42,3,28,19,36,8,30,0,4,1,42,13,0,149,116,74,0,10
Jermain Defoe,DF,Bournemouth,25.0,6.0,0.3,4,0,1,1,3.6,3.6,0,0,0.4,0,0,-9.223372036854776e+18,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
Steven Defour,MF,Burnley,448.0,75.0,5.0,0,0,0,0,0.0,0.0,0,0,0.0,198,250,79.2,0,0.0,2,17,4,0,8,4,9,7,8,0,0,0,1,0,0,56,10,24,0,0
Fabian Delph,DF,Manchester City,725.0,66.0,8.1,3,0,4,3,0.5,0.37,0,0,0.1,692,758,91.3,1,0.3,3,75,14,2,18,7,3,13,20,2,1,1,6,0,0,85,29,36,0,-4
Mousa Dembélé,MF,Tottenham,515.0,52.0,5.7,3,0,1,0,0.17,0.0,0,0,0.0,278,308,90.3,0,0.0,0,21,1,0,15,9,6,10,5,0,1,0,12,0,0,65,14,21,0,3
Leander Dendoncker,MF,Wolves,1467.0,77.0,16.3,2,2,16,9,0.98,0.55,0,0,2.5,504,625,80.6,0,1.2,7,28,7,1,47,35,45,22,29,0,1,0,11,1,0,150,48,96,0,23
Gerard Deulofeu,FW,Watford,2066.0,69.0,23.0,4,10,62,23,2.7,1.0,0,0,8.3,580,795,73.0,5,4.9,30,40,43,5,10,8,17,15,6,0,3,0,14,34,0,140,133,38,0,6
Fousseni Diabaté,FW,Leicester City,54.0,54.0,0.6,0,0,0,0,0.0,0.0,0,0,0.0,10,18,55.6,0,0.1,1,0,1,1,3,3,1,0,0,0,0,0,0,1,0,3,1,1,0,3
Mohamed Diamé,MF,Newcastle Utd,2166.0,75.0,24.1,5,0,21,3,0.87,0.12,0,0,0.9,571,741,77.1,0,0.0,1,44,8,1,72,48,50,30,39,0,3,0,36,0,0,228,56,119,0,24
Grady Diangana,FW,West Ham,609.0,36.0,6.8,11,0,10,3,1.48,0.44,0,0,0.7,200,265,75.5,1,1.2,11,16,7,1,21,10,11,2,3,0,0,0,4,1,0,60,25,16,0,-1
Eric Dier,MF,Tottenham,1506.0,75.0,16.7,2,3,9,3,0.54,0.18,0,0,1.6,890,1058,84.1,0,0.9,8,80,12,3,25,12,33,21,43,0,4,0,24,0,0,172,56,97,0,-1
Lucas Digne,DF,Everton,2965.0,85.0,32.9,2,4,34,10,1.03,0.3,0,0,1.1,1460,2059,70.9,4,6.1,70,112,51,30,84,45,74,58,118,0,5,1,39,2,1,386,158,250,0,6
Virgil van Dijk,DF,Liverpool,3384.0,89.0,37.6,0,4,32,8,0.85,0.21,0,0,3.2,2709,2996,90.4,2,1.1,6,182,5,0,35,25,43,42,227,0,1,0,12,1,0,528,208,312,0,15
Issa Diop,DF,West Ham,2970.0,90.0,33.0,0,1,14,4,0.42,0.12,0,0,1.1,973,1141,85.3,0,0.1,2,42,0,0,67,34,81,60,163,2,4,0,19,3,1,304,87,304,0,1
Matt Doherty,DF,Wolves,3144.0,83.0,34.9,3,4,43,17,1.23,0.49,0,0,5.6,1333,1828,72.9,5,4.8,41,74,32,11,68,33,80,60,98,0,5,0,30,3,1,310,144,238,0,-2
