,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,
256,Érik Lamela\Erik-Lamela,ar ARG,FWMF,Tottenham,26,1992,10.8,4,29,11,37.9,2.68,1.02,0.14,0.36,1,0,0,3.4,3.4,0.12,0.6,0.6,Matches
257,Manuel Lanzini\Manuel-Lanzini,ar ARG,MF,West Ham,25,1993,7.6,1,11,4,36.4,1.44,0.52,0.09,0.25,3,0,0,1.3,1.3,0.12,-0.3,-0.3,Matches
258,Aymeric Laporte\Aymeric-Laporte,fr FRA,DF,Manchester City,24,1994,34,3,27,7,25.9,0.79,0.21,0.11,0.43,0,0,0,2.2,2.2,0.08,0.8,0.8,Matches
259,Jamaal Lascelles\Jamaal-Lascelles,eng ENG,DF,Newcastle Utd,24,1993,30.5,0,10,1,10,0.33,0.03,0,0,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
260,Maxime Le Marchand\Maxime-Le-Marchand,fr FRA,DF,Fulham,28,1989,25,0,4,0,0,0.16,0,0,,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
261,Florian Lejeune\Florian-Lejeune,fr FRA,DF,Newcastle Utd,27,1991,11.7,0,6,2,33.3,0.51,0.17,0,0,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
262,Mario Lemina\Mario-Lemina,ga GAB,MF,Southampton,24,1993,17.9,1,27,4,14.8,1.51,0.22,0.04,0.25,0,0,0,1.2,1.2,0.04,-0.2,-0.2,Matches
263,Aaron Lennon\Aaron-Lennon,eng ENG,FWMF,Burnley,31,1987,13.5,1,4,2,50,0.3,0.15,0.25,0.5,0,0,0,0.4,0.4,0.11,0.6,0.6,Matches
264,Bernd Leno\Bernd-Leno,de GER,GK,Arsenal,26,1992,31.5,0,0,0,,0,0,,,0,0,0,0,0,,0,0,Matches
265,Jefferson Lerma\Jefferson-Lerma,co COL,MF,Bournemouth,23,1994,27.8,2,33,8,24.2,1.19,0.29,0.06,0.25,0,0,0,1.1,1.1,0.03,0.9,0.9,Matches
266,Stephan Lichtsteiner\Stephan-Lichtsteiner,ch SUI,DF,Arsenal,34,1984,10.4,0,1,0,0,0.1,0,0,,0,0,0,0,0,0.02,0,0,Matches
267,Victor Lindelöf\Victor-Lindelof,se SWE,DF,Manchester Utd,24,1994,28.9,1,7,1,14.3,0.24,0.03,0.14,1,0,0,0,0.6,0.6,0.09,0.4,0.4,Matches
268,Jesse Lingard\Jesse-Lingard,eng ENG,FWMF,Manchester Utd,25,1992,18.5,4,31,12,38.7,1.68,0.65,0.1,0.25,0,1,1,4.9,4.2,0.13,-0.9,-1.2,Matches
269,Fernando Llorente\Fernando-Llorente,es ESP,FW,Tottenham,33,1985,7.7,1,23,5,21.7,2.98,0.65,0.04,0.2,0,0,0,3,3,0.13,-2,-2,Matches
270,Hugo Lloris\Hugo-Lloris,fr FRA,GK,Tottenham,31,1986,33,0,0,0,,0,0,,,0,0,0,0,0,,0,0,Matches
271,Jürgen Locadia\Jurgen-Locadia,nl NED,FWMF,Brighton,24,1993,13.7,2,26,9,34.6,1.89,0.66,0.08,0.22,1,0,0,3.1,3.1,0.12,-1.1,-1.1,Matches
272,Ruben Loftus-Cheek\Ruben-Loftus-Cheek,eng ENG,MFFW,Chelsea,22,1996,11.1,6,27,8,29.6,2.43,0.72,0.22,0.75,0,0,0,2.9,2.9,0.11,3.1,3.1,Matches
273,Kevin Long\Kevin-Long,ie IRL,DF,Burnley,27,1990,5.7,0,1,0,0,0.18,0,0,,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
274,Shane Long\Shane-Long,ie IRL,FWMF,Southampton,31,1987,14.1,5,30,9,30,2.12,0.64,0.17,0.56,0,0,0,4.6,4.6,0.17,0.4,0.4,Matches
275,Sean Longstaff\Sean-Longstaff,eng ENG,MF,Newcastle Utd,20,1997,7.6,1,8,2,25,1.05,0.26,0.13,0.5,0,0,0,0.4,0.4,0.05,0.6,0.6,Matches
276,Ademola Lookman\Ademola-Lookman,eng ENG,FWMF,Everton,20,1997,6.9,0,12,3,25,1.75,0.44,0,0,0,0,0,1.2,1.2,0.1,-1.2,-1.2,Matches
277,Jonas Lössl\Jonas-Lossl,dk DEN,GK,Huddersfield,29,1989,30.9,0,0,0,,0,0,,,0,0,0,0,0,,0,0,Matches
278,Dejan Lovren\Dejan-Lovren,hr CRO,DF,Liverpool,29,1989,11,1,6,1,16.7,0.55,0.09,0.17,1,0,0,0,0.7,0.7,0.12,0.3,0.3,Matches
279,Chris Löwe\Chris-Lowe,de GER,DFMF,Huddersfield,29,1989,22.9,0,18,6,33.3,0.79,0.26,0,0,1,0,0,0.5,0.5,0.03,-0.5,-0.5,Matches
280,Matthew Lowton\Matthew-Lowton,eng ENG,DF,Burnley,29,1989,19.4,0,5,0,0,0.26,0,0,,0,0,0,0.5,0.5,0.09,-0.5,-0.5,Matches
281,David Luiz\David-Luiz,br BRA,DF,Chelsea,31,1987,36,3,33,8,24.2,0.92,0.22,0.09,0.38,9,0,0,1.9,1.9,0.06,1.1,1.1,Matches
282,Romelu Lukaku\Romelu-Lukaku,be BEL,FW,Manchester Utd,25,1993,23.7,12,59,33,55.9,2.49,1.39,0.2,0.36,0,0,0,11.1,11.1,0.19,0.9,0.9,Matches
283,James Maddison\James-Maddison,eng ENG,MFFW,Leicester City,21,1996,31.5,7,82,27,32.9,2.61,0.86,0.07,0.22,14,1,2,7.4,5.9,0.07,-0.4,0.1,Matches
284,Gary Madine\Gary-Madine,eng ENG,FWMF,Cardiff City,27,1990,0.4,0,0,0,,0,0,,,0,0,0,0,0,,0,0,Matches
285,Harry Maguire\Harry-Maguire,eng ENG,DF,Leicester City,25,1993,28.8,3,29,11,37.9,1.01,0.38,0.1,0.27,0,0,0,1.5,1.5,0.05,1.5,1.5,Matches
286,Riyad Mahrez\Riyad-Mahrez,dz ALG,FWMF,Manchester City,27,1991,14.9,7,54,24,44.4,3.62,1.61,0.13,0.29,1,0,1,5.6,4.8,0.09,1.4,2.2,Matches
287,Ainsley Maitland-Niles\Ainsley-Maitland-Niles,eng ENG,DF,Arsenal,20,1997,11,1,6,3,50,0.55,0.27,0.17,0.33,0,0,0,0.9,0.9,0.15,0.1,0.1,Matches
288,Sadio Mané\Sadio-Mane,sn SEN,FW,Liverpool,26,1992,34.2,22,88,42,47.7,2.57,1.23,0.25,0.52,0,0,0,16.1,16.1,0.18,5.9,5.9,Matches
289,Javier Manquillo\Javier-Manquillo,es ESP,DF,Newcastle Utd,24,1994,12.2,0,2,1,50,0.16,0.08,0,0,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
290,Solly March\Solly-March,eng ENG,FWMF,Brighton,24,1994,27.4,1,42,9,21.4,1.53,0.33,0.02,0.11,3,0,0,2.6,2.6,0.06,-1.6,-1.6,Matches
291,Adrian Mariappa\Adrian-Mariappa,jm JAM,DF,Watford,31,1986,21.4,0,5,1,20,0.23,0.05,0,0,0,0,0,0.8,0.8,0.17,-0.8,-0.8,Matches
292,Lazar Markovi?\Lazar-Markovic,rs SRB,FW,Fulham,24,1994,0.5,0,0,0,,0,0,,,0,0,0,0,0,,0,0,Matches
293,Anthony Martial\Anthony-Martial,fr FRA,FW,Manchester Utd,22,1995,18,10,37,22,59.5,2.05,1.22,0.24,0.41,0,1,1,6.1,5.4,0.15,3.9,3.6,Matches
294,Adam Masina\Adam-Masina,it ITA,DF,Watford,24,1994,11.2,0,3,0,0,0.27,0,0,,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
295,Arthur Masuaku\Arthur-Masuaku,cd COD,DF,West Ham,24,1993,19.5,0,4,1,25,0.2,0.05,0,0,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
296,Juan Mata\Juan-Mata,es ESP,FWMF,Manchester Utd,30,1988,14.3,3,19,6,31.6,1.33,0.42,0.16,0.5,3,0,0,1.5,1.5,0.08,1.5,1.5,Matches
297,Nemanja Mati?\Nemanja-Matic,rs SRB,MF,Manchester Utd,29,1988,27.1,1,12,3,25,0.44,0.11,0.08,0.33,0,0,0,1.4,1.4,0.12,-0.4,-0.4,Matches
298,Joël Matip\Joel-Matip,cm CMR,DF,Liverpool,26,1991,17.1,1,8,2,25,0.47,0.12,0.13,0.5,0,0,0,0.5,0.5,0.07,0.5,0.5,Matches
299,Konstantinos Mavropanos\Konstantinos-Mavropanos,gr GRE,DF,Arsenal,20,1997,1.6,0,1,0,0,0.61,0,0,,0,0,0,0,0,0.05,0,0,Matches
300,Alfie Mawson\Alfie-Mawson,eng ENG,DF,Fulham,24,1994,12.6,0,2,1,50,0.16,0.08,0,0,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
301,Isaac Mbenza\Isaac-Mbenza,be BEL,FWMF,Huddersfield,22,1996,11,1,15,5,33.3,1.37,0.46,0.07,0.2,0,0,0,1.1,1.1,0.07,-0.1,-0.1,Matches
302,James McArthur\James-McArthur,sco SCO,MF,Crystal Palace,30,1987,34,3,34,8,23.5,1,0.24,0.09,0.38,0,0,0,5.4,5.4,0.16,-2.4,-2.4,Matches
303,Alex McCarthy\Alex-McCarthy,eng ENG,GK,Southampton,28,1989,25,0,0,0,,0,0,,,0,0,0,0,0,,0,0,Matches
304,James McCarthy\James-McCarthy,ie IRL,MF,Everton,27,1990,0.2,0,0,0,,0,0,,,0,0,0,0,0,,0,0,Matches
305,Kevin McDonald\Kevin-McDonald,sco SCO,MF,Fulham,29,1988,9.3,0,4,0,0,0.43,0,0,,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
306,Dwight McNeil\Dwight-McNeil,eng ENG,MFFW,Burnley,18,1999,17.7,3,28,6,21.4,1.58,0.34,0.11,0.5,4,0,0,1.8,1.8,0.06,1.2,1.2,Matches
307,Scott McTominay\Scott-McTominay,sco SCO,MFDF,Manchester Utd,21,1996,9.6,2,15,6,40,1.56,0.62,0.13,0.33,0,0,0,1,1,0.06,1,1,Matches
308,Ben Mee\Ben-Mee,eng ENG,DF,Burnley,28,1989,38,0,23,6,26.1,0.61,0.16,0,0,0,0,0,1.5,1.5,0.07,-1.5,-1.5,Matches
309,Nathaniel Mendez-Laing\Nathaniel-Mendez-Laing,eng ENG,MFFW,Cardiff City,26,1992,10.9,4,20,8,40,1.83,0.73,0.15,0.38,0,1,1,2.8,2.1,0.1,1.2,0.9,Matches
310,Benjamin Mendy\Benjamin-Mendy,fr FRA,DF,Manchester City,24,1994,10,0,7,2,28.6,0.7,0.2,0,0,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
311,Nampalys Mendy\Nampalys-Mendy,fr FRA,MF,Leicester City,26,1992,23.2,0,3,0,0,0.13,0,0,,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
312,Chris Mepham\Chris-Mepham,wal WAL,DF,Bournemouth,20,1997,9.4,0,2,0,0,0.21,0,0,,0,0,0,0,0,0.02,0,0,Matches
313,Max Meyer\Max-Meyer,de GER,MFFW,Crystal Palace,22,1995,15.7,1,35,6,17.1,2.22,0.38,0.03,0.17,0,0,0,2.2,2.2,0.06,-1.2,-1.2,Matches
314,Luka Milivojevi?\Luka-Milivojevic,rs SRB,MF,Crystal Palace,27,1991,38,12,47,13,27.7,1.24,0.34,0.04,0.15,16,10,11,11.1,2.7,0.06,0.9,-0.7,Matches
315,James Milner\James-Milner,eng ENG,MFDF,Liverpool,32,1986,19.9,5,21,4,19,1.06,0.2,0.1,0.5,1,3,3,3.9,1.7,0.08,1.1,0.3,Matches
316,Yerry Mina\Yerry-Mina,co COL,DF,Everton,23,1994,9.9,1,4,1,25,0.4,0.1,0.25,1,0,0,0,0.4,0.4,0.1,0.6,0.6,Matches
317,Tyrone Mings\Tyrone-Mings,eng ENG,DF,Bournemouth,25,1993,1.6,0,0,0,,0,0,,,0,0,0,0,0,,0,0,Matches
318,Aleksandar Mitrovi?\Aleksandar-Mitrovic,rs SRB,FW,Fulham,23,1994,36.4,11,122,42,34.4,3.35,1.15,0.08,0.24,2,1,1,14.6,13.9,0.11,-3.6,-3.9,Matches
319,Henrikh Mkhitaryan\Henrikh-Mkhitaryan,am ARM,FWMF,Arsenal,29,1989,18.2,6,50,14,28,2.74,0.77,0.12,0.43,1,0,0,4.6,4.6,0.09,1.4,1.4,Matches
320,Nacho Monreal\Nacho-Monreal,es ESP,DF,Arsenal,32,1986,20.7,1,9,4,44.4,0.44,0.19,0.11,0.25,0,0,0,1.3,1.3,0.15,-0.3,-0.3,Matches
321,Martín Montoya\Martin-Montoya,es ESP,DF,Brighton,27,1991,24.1,0,8,1,12.5,0.33,0.04,0,0,0,0,0,0.2,0.2,0.02,-0.2,-0.2,Matches
322,Aaron Mooy\Aaron-Mooy,au AUS,MFFW,Huddersfield,27,1990,25.9,3,39,13,33.3,1.51,0.5,0.05,0.15,8,1,1,2.4,1.6,0.04,0.6,0.4,Matches
323,Álvaro Morata\Alvaro-Morata,es ESP,FW,Chelsea,25,1992,10.5,5,35,16,45.7,3.35,1.53,0.14,0.31,0,0,0,6.3,6.3,0.18,-1.3,-1.3,Matches
324,Alberto Moreno\Alberto-Moreno,es ESP,DF,Liverpool,26,1992,1.7,0,1,0,0,0.58,0,0,,0,0,0,0,0,0.02,0,0,Matches
325,Wes Morgan\Wes-Morgan,jm JAM,DF,Leicester City,34,1984,21.4,3,14,5,35.7,0.65,0.23,0.21,0.6,0,0,0,1.9,1.9,0.14,1.1,1.1,Matches
326,Sean Morrison\Sean-Morrison,eng ENG,DF,Cardiff City,27,1991,33.8,1,33,7,21.2,0.98,0.21,0.03,0.14,0,0,0,4.2,4.2,0.13,-3.2,-3.2,Matches
327,Victor Moses\Victor-Moses,ng NGA,FW,Chelsea,27,1990,0.3,0,0,0,,0,0,,,0,0,0,0,0,,0,0,Matches
328,Steve Mounié\Steve-Mounie,bj BEN,FW,Huddersfield,23,1994,19.8,2,63,24,38.1,3.19,1.21,0.03,0.08,0,0,0,5.3,5.3,0.08,-3.3,-3.3,Matches
329,Lucas Moura\Lucas-Moura,br BRA,FWMF,Tottenham,25,1992,23.6,10,45,20,44.4,1.91,0.85,0.22,0.5,0,0,0,5.4,5.4,0.12,4.6,4.6,Matches
330,Lys Mousset\Lys-Mousset,fr FRA,FWMF,Bournemouth,22,1996,4.1,1,13,7,53.8,3.18,1.71,0.08,0.14,0,0,0,1.7,1.7,0.13,-0.7,-0.7,Matches
331,João Moutinho\Joao-Moutinho,pt POR,MF,Wolves,31,1986,33.7,1,18,3,16.7,0.53,0.09,0.06,0.33,1,0,0,0.6,0.6,0.03,0.4,0.4,Matches
332,Jacob Murphy\Jacob-Murphy,eng ENG,MFFW,Newcastle Utd,23,1995,3.4,0,2,1,50,0.6,0.3,0,0,0,0,0,0,0,0.02,0,0,Matches
333,Josh Murphy\Josh-Murphy,eng ENG,FWMF,Cardiff City,23,1995,20.2,3,45,15,33.3,2.23,0.74,0.07,0.2,3,0,0,3.4,3.4,0.08,-0.4,-0.4,Matches
334,Glenn Murray\Glenn-Murray,eng ENG,FW,Brighton,34,1983,27.9,13,51,16,31.4,1.83,0.57,0.18,0.56,0,4,4,10.4,7.4,0.15,2.6,1.6,Matches
335,Shkodran Mustafi\Shkodran-Mustafi,de GER,DF,Arsenal,26,1992,29,2,19,9,47.4,0.65,0.31,0.11,0.22,0,0,0,1.3,1.3,0.07,0.7,0.7,Matches
336,Yoshinori Mut?\Yoshinori-Muto,jp JPN,FW,Newcastle Utd,26,1992,5.8,1,5,3,60,0.86,0.52,0.2,0.33,0,0,0,0.8,0.8,0.16,0.2,0.2,Matches
337,Georges-Kévin N'Koudou\Georges-Kevin-NKoudou,fr FRA,FW,Tottenham,23,1995,0.1,0,0,0,,0,0,,,0,0,0,0,0,,0,0,Matches
338,Samir Nasri\Samir-Nasri,fr FRA,MF,West Ham,31,1987,2.7,0,3,0,0,1.1,0,0,,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
339,Marc Navarro\Marc-Navarro,es ESP,DF,Watford,23,1995,0.9,0,0,0,,0,0,,,0,0,0,0,0,,0,0,Matches
340,Wilfred Ndidi\Wilfred-Ndidi,ng NGA,MF,Leicester City,21,1996,36.6,2,56,9,16.1,1.53,0.25,0.04,0.22,0,0,0,3.3,3.3,0.06,-1.3,-1.3,Matches
341,Rúben Neves\Ruben-Neves,pt POR,MF,Wolves,21,1997,33.4,4,71,15,21.1,2.13,0.45,0.03,0.13,11,2,2,3.6,2.1,0.03,0.4,-0.1,Matches
342,Oumar Niasse\Oumar-Niasse,sn SEN,FWMF,Everton,28,1990,0.7,0,3,1,33.3,4.29,1.43,0,0,0,0,0,0.5,0.5,0.16,-0.5,-0.5,Matches
343,Oumar Niasse\Oumar-Niasse,sn SEN,FW,Cardiff City,28,1990,10.3,0,17,6,35.3,1.64,0.58,0,0,0,0,0,2.9,2.9,0.17,-2.9,-2.9,Matches
344,Eddie Nketiah\Eddie-Nketiah,eng ENG,MFFW,Arsenal,19,1999,0.7,1,3,1,33.3,4.03,1.34,0.33,1,0,0,0,0.2,0.2,0.06,0.8,0.8,Matches
345,Mark Noble\Mark-Noble,eng ENG,MF,West Ham,31,1987,25.5,5,13,5,38.5,0.51,0.2,0.08,0.2,0,4,4,3.8,0.7,0.06,1.2,0.3,Matches
346,Håvard Nordtveit\Havard-Nordtveit,no NOR,DF,Fulham,28,1990,4,0,0,0,,0,0,,,0,0,0,0,0,,0,0,Matches
347,Will Norris\Will-Norris,eng ENG,GK,Wolves,24,1993,0,0,0,0,,0,0,,,0,0,0,0,0,,0,0,Matches
348,Michael Obafemi\Michael-Obafemi,ie IRL,FW,Southampton,18,2000,1.5,1,8,2,25,5.26,1.31,0.13,0.5,0,0,0,1.8,1.8,0.23,-0.8,-0.8,Matches
349,Pedro Obiang\Pedro-Obiang,gq EQG,MF,West Ham,26,1992,12.5,0,16,1,6.3,1.28,0.08,0,0,0,0,0,0.7,0.7,0.04,-0.7,-0.7,Matches
350,Denis Odoi\Denis-Odoi,be BEL,DF,Fulham,30,1988,28.8,0,10,1,10,0.35,0.03,0,0,0,0,0,0.8,0.8,0.08,-0.8,-0.8,Matches
351,Angelo Ogbonna\Angelo-Ogbonna,it ITA,DF,West Ham,30,1988,20.8,1,13,5,38.5,0.62,0.24,0.08,0.2,0,0,0,1.3,1.3,0.1,-0.3,-0.3,Matches
352,Stefano Okaka\Stefano-Okaka,it ITA,FW,Watford,28,1989,0.3,0,2,0,0,7.5,0,0,,0,0,0,0.4,0.4,0.21,-0.4,-0.4,Matches
353,Shinji Okazaki\Shinji-Okazaki,jp JPN,FWMF,Leicester City,32,1986,3.2,0,4,3,75,1.25,0.94,0,0,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches
354,Divock Origi\Divock-Origi,be BEL,FW,Liverpool,23,1995,4.1,3,13,6,46.2,3.15,1.46,0.23,0.5,1,0,0,2,2,0.16,1,1,Matches
355,Nicolás Otamendi\Nicolas-Otamendi,ar ARG,DF,Manchester City,30,1988,13.7,0,14,3,21.4,1.02,0.22,0,0,0,0,0,1.2,1.2,0.09,-1.2,-1.2,Matches
356,Alex Oxlade-Chamberlain\Alex-Oxlade-Chamberlain,eng ENG,MFFW,Liverpool,24,1993,0.2,0,1,1,100,4.29,4.29,0,0,0,0,0,0.3,0.3,0.3,-0.3,-0.3,Matches
357,Mesut Özil\Mesut-Ozil,de GER,MFFW,Arsenal,29,1988,19.3,5,11,6,54.5,0.57,0.31,0.45,0.83,0,0,0,1.6,1.6,0.15,3.4,3.4,Matches
358,Emerson Palmieri\Emerson-Palmieri,it ITA,DF,Chelsea,23,1994,7.4,0,5,1,20,0.68,0.14,0,0,2,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
359,Sokratis Papastathopoulos\Sokratis-Papastathopoulos,gr GRE,DF,Arsenal,30,1988,24.4,1,10,1,10,0.41,0.04,0.1,1,0,0,0,0.8,0.8,0.08,0.2,0.2,Matches
360,Callum Paterson\Callum-Paterson,sco SCO,FWMF,Cardiff City,23,1994,22.2,4,39,7,17.9,1.76,0.32,0.08,0.43,0,1,1,5.4,4.6,0.12,-1.4,-0.6,Matches
361,Rui Patrício\Rui-Patricio,pt POR,GK,Wolves,30,1988,37,0,0,0,,0,0,,,0,0,0,0,0,,0,0,Matches
362,Pedro\Pedro,es ESP,FW,Chelsea,31,1987,19.8,8,58,24,41.4,2.94,1.21,0.14,0.33,0,0,0,6.9,6.9,0.12,1.1,1.1,Matches
363,Lee Peltier\Lee-Peltier,eng ENG,DF,Cardiff City,31,1986,17.2,0,1,1,100,0.06,0.06,0,0,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
364,Andreas Pereira\Andreas-Pereira,br BRA,MF,Manchester Utd,22,1996,6.7,1,8,2,25,1.2,0.3,0.13,0.5,1,0,0,0.3,0.3,0.03,0.7,0.7,Matches
365,Ricardo Pereira\Ricardo-Pereira,pt POR,DFFW,Leicester City,24,1993,34.7,2,26,9,34.6,0.75,0.26,0.08,0.22,0,0,0,1.5,1.5,0.06,0.5,0.5,Matches
366,Roberto Pereyra\Roberto-Pereyra,ar ARG,FWMF,Watford,27,1991,31.3,6,56,21,37.5,1.79,0.67,0.11,0.29,6,0,0,5.1,5.1,0.09,0.9,0.9,Matches
367,Ayoze Pérez\Ayoze-Perez,es ESP,FWMF,Newcastle Utd,25,1993,32.4,12,53,26,49.1,1.64,0.8,0.23,0.46,0,0,0,7.5,7.5,0.14,4.5,4.5,Matches
368,Lucas Pérez\Lucas-Perez,es ESP,FW,West Ham,29,1988,5.3,3,9,3,33.3,1.71,0.57,0.33,1,0,0,0,1.9,1.9,0.21,1.1,1.1,Matches
369,Jordan Pickford\Jordan-Pickford,eng ENG,GK,Everton,24,1994,38,0,0,0,,0,0,,,0,0,0,0,0,,0,0,Matches
370,Paul Pogba\Paul-Pogba,fr FRA,MF,Manchester Utd,25,1993,33.4,13,96,38,39.6,2.87,1.14,0.06,0.16,6,7,10,14.5,6.8,0.07,-1.5,-0.8,Matches
371,Alex Pritchard\Alex-Pritchard,eng ENG,MFFW,Huddersfield,25,1993,23.1,2,48,14,29.2,2.08,0.61,0.04,0.14,1,0,0,3.4,3.4,0.07,-1.4,-1.4,Matches
372,Sebastian Prödl\Sebastian-Prodl,at AUT,DF,Watford,31,1987,0.1,0,0,0,,0,0,,,0,0,0,0,0,,0,0,Matches
373,Davy Pröpper\Davy-Propper,nl NED,MF,Brighton,26,1991,28.3,1,15,2,13.3,0.53,0.07,0.07,0.5,0,0,0,1.1,1.1,0.08,-0.1,-0.1,Matches
374,Jason Puncheon\Jason-Puncheon,eng ENG,MF,Crystal Palace,32,1986,0.1,0,0,0,,0,0,,,0,0,0,0,0,,0,0,Matches
375,Jason Puncheon\Jason-Puncheon,eng ENG,MFFW,Huddersfield,32,1986,4.2,0,6,0,0,1.41,0,0,,0,0,0,0.7,0.7,0.11,-0.7,-0.7,Matches
376,Collin Quaner\Collin-Quaner,de GER,FWMF,Huddersfield,27,1991,0.4,0,0,0,,0,0,,,0,0,0,0,0,,0,0,Matches
377,Domingos Quina\Domingos-Quina,pt POR,MF,Watford,18,1999,3.8,1,5,1,20,1.33,0.27,0.2,1,0,0,0,0.2,0.2,0.03,0.8,0.8,Matches
378,Joe Ralls\Joe-Ralls,eng ENG,MF,Cardiff City,24,1993,21.8,0,22,2,9.1,1.01,0.09,0,0,0,0,1,1.6,0.8,0.04,-1.6,-0.8,Matches
379,Aaron Ramsey\Aaron-Ramsey,wal WAL,MFFW,Arsenal,27,1990,14.8,4,33,12,36.4,2.23,0.81,0.12,0.33,0,0,0,3.2,3.2,0.1,0.8,0.8,Matches
380,Kayne Ramsey\Kayne-Ramsey,eng ENG,DF,Southampton,17,2000,1,0,0,0,,0,0,,,0,0,0,0,0,,0,0,Matches
381,Marcus Rashford\Marcus-Rashford,eng ENG,FW,Manchester Utd,20,1997,25.9,10,83,40,48.2,3.2,1.54,0.12,0.25,12,0,0,9.4,9.4,0.11,0.6,0.6,Matches
