,,Total,Total,Total,Total,Total,,,,,,,,,
Player,Squad,Cmp,Att,Cmp%,TotDist,PrgDist,Ast,xA,A-xA,KP,01-Mar,PPA,CrsPA,Prog,Matches
Patrick van Aanholt\Patrick-van-Aanholt,Crystal Palace,1587,1962,80.9,26851,11857,2,3.9,-1.9,34,115,63,9,292,Matches
Sergio Agüero\Sergio-Aguero,Manchester City,665,785,84.7,9245,1686,8,5.5,2.5,34,37,44,1,68,Matches
Nathan Aké\Nathan-Ake,Bournemouth,1469,1701,86.4,30143,10917,0,0.8,-0.8,5,92,7,3,91,Matches
Marc Albrighton\Marc-Albrighton,Leicester City,459,776,59.1,8932,3604,2,3.1,-1.1,30,48,29,12,101,Matches
Toby Alderweireld\Toby-Alderweireld,Tottenham,2067,2342,88.3,50426,14985,0,0.6,-0.6,7,193,23,1,133,Matches
Trent Alexander-Arnold\Trent-Alexander-Arnold,Liverpool,1644,2213,74.3,34938,13658,12,6.1,5.9,48,129,59,25,322,Matches
Alisson\Alisson,Liverpool,1039,1262,82.3,30318,16760,0,0,0,0,12,0,0,0,Matches
Dele Alli\Dele-Alli,Tottenham,843,1050,80.3,13914,3358,3,2.4,0.6,28,81,32,2,99,Matches
Miguel Almirón\Miguel-Almiron,Newcastle Utd,188,260,72.3,3320,863,0,0.8,-0.8,12,16,14,9,28,Matches
Marcos Alonso\Marcos-Alonso,Chelsea,1838,2226,82.6,29324,9874,4,3.9,0.1,31,114,23,9,175,Matches
Daniel Amartey\Daniel-Amartey,Leicester City,354,433,81.8,6665,2943,0,0.2,-0.2,3,31,0,0,42,Matches
Luke Amos\Luke-Amos,Tottenham,1,2,50,13,3,0,0,0,0,0,0,0,0,Matches
Felipe Anderson\Felipe-Anderson,West Ham,1328,1819,73,22850,7749,4,6.7,-2.7,60,109,89,13,223,Matches
Florin Andone\Florin-Andone,Brighton,122,180,67.8,1667,216,0,0.1,-0.1,2,4,2,1,6,Matches
Michail Antonio\Michail-Antonio,West Ham,513,777,66,8177,2307,4,3.4,0.6,20,43,19,8,76,Matches
Stuart Armstrong\Stuart-Armstrong,Southampton,498,652,76.4,8420,2162,2,1.4,0.6,28,39,26,2,71,Matches
Marko Arnautovi?\Marko-Arnautovic,West Ham,496,655,75.7,7602,1359,4,3.6,0.4,33,21,17,2,46,Matches
Kepa Arrizabalaga\Kepa-Arrizabalaga,Chelsea,974,1136,85.7,27156,14923,0,0,0,0,3,0,0,1,Matches
Harry Arter\Harry-Arter,Cardiff City,534,689,77.5,9771,2810,1,0.7,0.3,12,58,20,4,82,Matches
Christian Atsu\Christian-Atsu,Newcastle Utd,335,454,73.8,5193,1161,0,1.2,-1.2,14,23,17,5,31,Matches
Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,Arsenal,526,742,70.9,7324,1884,5,4.2,0.8,33,28,33,4,68,Matches
Serge Aurier\Serge-Aurier,Tottenham,253,343,73.8,4361,1788,2,0.5,1.5,5,9,11,7,40,Matches
Charlie Austin\Charlie-Austin,Southampton,127,208,61.1,2051,287,2,0.4,1.6,9,4,4,0,9,Matches
Jordan Ayew\Jordan-Ayew,Crystal Palace,201,273,73.6,2823,526,2,1.1,0.9,13,11,6,0,16,Matches
Floyd Ayité\Floyd-Ayite,Fulham,159,209,76.1,2483,725,0,0.3,-0.3,8,11,7,1,24,Matches
César Azpilicueta\Cesar-Azpilicueta,Chelsea,2471,2892,85.4,40522,14256,5,2.3,2.7,25,160,47,19,231,Matches
Ryan Babel\Ryan-Babel,Fulham,410,515,79.6,6440,1687,3,2.3,0.7,23,27,10,3,42,Matches
Juninho Bacuna\Juninho-Bacuna,Huddersfield,559,763,73.3,11230,3789,0,1.6,-1.6,17,85,12,0,100,Matches
Leandro Bacuna\Leandro-Bacuna,Cardiff City,114,168,67.9,2153,858,0,0,0,1,11,5,2,24,Matches
Eric Bailly\Eric-Bailly,Manchester Utd,267,310,86.1,5489,1689,0,0,0,0,8,0,0,10,Matches
Leighton Baines\Leighton-Baines,Everton,206,261,78.9,3537,1557,0,0.2,-0.2,4,16,2,1,43,Matches
Fabián Balbuena\Fabian-Balbuena,West Ham,655,838,78.2,13925,5702,0,0.1,-0.1,3,33,0,0,42,Matches
Leon Balogun\Leon-Balogun,Brighton,174,218,79.8,3945,888,0,0,0,0,2,0,0,4,Matches
Sol Bamba\Sol-Bamba,Cardiff City,397,580,68.4,9028,3462,1,0.4,0.6,4,43,3,0,47,Matches
Phil Bardsley\Phil-Bardsley,Burnley,523,770,67.9,10171,4847,0,0.7,-0.7,6,61,20,6,117,Matches
Ross Barkley\Ross-Barkley,Chelsea,881,973,90.5,15589,2677,5,2.1,2.9,21,62,17,2,66,Matches
Ashley Barnes\Ashley-Barnes,Burnley,346,559,61.9,5019,1092,2,3.6,-1.6,20,23,13,2,45,Matches
Harvey Barnes\Harvey-Barnes,Leicester City,257,344,74.7,3546,944,2,1.4,0.6,16,16,13,4,35,Matches
Antonio Barreca\Antonio-Barreca,Newcastle Utd,1,3,33.3,16,16,0,0,0,0,0,0,0,1,Matches
Michy Batshuayi\Michy-Batshuayi,Crystal Palace,111,162,68.5,1614,301,0,0.1,-0.1,1,5,2,0,7,Matches
Jan Bednarek\Jan-Bednarek,Southampton,591,849,69.6,12101,5559,1,0.4,0.6,7,53,2,0,71,Matches
Asmir Begovi?\Asmir-Begovic,Bournemouth,431,633,68.1,14901,10075,0,0,0,0,4,0,0,1,Matches
Héctor Bellerín\Hector-Bellerin,Arsenal,794,947,83.8,13510,4477,5,2.2,2.8,9,48,27,5,104,Matches
Joe Bennett\Joe-Bennett,Cardiff City,640,947,67.6,11667,6053,1,1.1,-0.1,13,75,14,9,157,Matches
Ryan Bennett\Ryan-Bennett,Wolves,1095,1387,78.9,23131,7322,0,0.4,-0.4,5,97,2,0,95,Matches
Christian Benteke\Christian-Benteke,Crystal Palace,139,243,57.2,2112,377,1,1.3,-0.3,8,8,2,0,13,Matches
Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,Burnley,407,610,66.7,7473,2649,6,3.8,2.2,40,22,22,16,87,Matches
Bernard\Bernard,Everton,633,867,73,10614,3250,3,3.2,-0.2,40,45,34,9,91,Matches
Bernardo\Bernardo,Brighton,735,1014,72.5,12840,5472,1,0.9,0.1,9,54,10,3,131,Matches
Ryan Bertrand\Ryan-Bertrand,Southampton,795,1094,72.7,13308,6080,0,1.9,-1.9,23,68,29,13,161,Matches
Marcus Bettinelli\Marcus-Bettinelli,Fulham,154,237,65,5646,4315,0,0,0,0,5,1,0,0,Matches
Philip Billing\Philip-Billing,Huddersfield,912,1251,72.9,18591,5361,0,1.1,-1.1,17,67,21,10,132,Matches
Yves Bissouma\Yves-Bissouma,Brighton,596,727,82,10282,2277,0,1.1,-1.1,14,52,7,1,52,Matches
Willy Boly\Willy-Boly,Wolves,1392,1695,82.1,27415,11135,0,0.9,-0.9,10,122,7,0,125,Matches
Léo Bonatini\Leo-Bonatini,Wolves,41,55,74.5,706,159,1,0.3,0.7,2,5,3,1,5,Matches
Gaëtan Bong\Gaetan-Bong,Brighton,598,879,68,10886,5632,0,0.6,-0.6,8,46,18,10,116,Matches
Artur Boruc\Artur-Boruc,Bournemouth,225,350,64.3,7768,5404,0,0,0,0,4,0,0,0,Matches
Robbie Brady\Robbie-Brady,Burnley,162,287,56.4,3017,1094,1,1.4,-0.4,13,15,11,6,35,Matches
Miguel Britos\Miguel-Britos,Watford,48,56,85.7,1045,418,0,0,0,0,3,0,0,5,Matches
David Brooks\David-Brooks,Bournemouth,649,879,73.8,10707,3430,5,3.7,1.3,29,56,40,3,110,Matches
Bruno\Bruno,Brighton,506,634,79.8,9870,4571,1,0.3,0.7,6,34,9,3,75,Matches
Joe Bryan\Joe-Bryan,Fulham,907,1291,70.3,16413,7598,1,2.6,-1.6,23,79,24,14,176,Matches
David Button\David-Button,Brighton,48,108,44.4,2266,1848,0,0,0,0,3,0,0,0,Matches
Willy Caballero\Willy-Caballero,Chelsea,51,63,81,1505,839,0,0,0,0,0,0,0,0,Matches
Gary Cahill\Gary-Cahill,Chelsea,18,20,90,339,195,0,0,0,0,1,0,0,6,Matches
Tom Cairney\Tom-Cairney,Fulham,1257,1412,89,21716,4012,1,2.9,-1.9,37,109,31,2,119,Matches
Dominic Calvert-Lewin\Dominic-Calvert-Lewin,Everton,283,441,64.2,4058,728,2,1.1,0.9,10,22,7,1,21,Matches
Rafael Camacho\Rafael-Camacho,Liverpool,0,0,,0,0,0,0,0,0,0,0,0,0,Matches
Víctor Camarasa\Victor-Camarasa,Cardiff City,702,1006,69.8,13295,3558,4,3.3,0.7,47,61,25,7,119,Matches
Étienne Capoue\Etienne-Capoue,Watford,1482,1778,83.4,29212,8003,3,0.9,2.1,9,152,18,1,164,Matches
Andy Carroll\Andy-Carroll,West Ham,86,131,65.6,1354,252,0,0.2,-0.2,3,4,0,0,4,Matches
Jonny Castro\Jonny-Castro,Wolves,1124,1394,80.6,17057,5537,1,1.5,-0.5,25,38,22,5,107,Matches
Craig Cathcart\Craig-Cathcart,Watford,1046,1278,81.8,22783,7703,0,0.4,-0.4,1,61,3,1,64,Matches
Ivan Cavaleiro\Ivan-Cavaleiro,Wolves,252,356,70.8,3891,968,1,1.5,-0.5,17,13,12,8,30,Matches
Petr ?ech\Petr-Cech,Arsenal,168,242,69.4,4852,2753,0,0,0,0,1,0,0,0,Matches
Nathaniel Chalobah\Nathaniel-Chalobah,Watford,93,121,76.9,1734,585,0,0,0,0,10,1,0,11,Matches
Calum Chambers\Calum-Chambers,Fulham,1190,1518,78.4,22754,6702,0,0.7,-0.7,15,123,16,0,130,Matches
Ben Chilwell\Ben-Chilwell,Leicester City,1575,2239,70.3,26044,9663,4,3,1,40,99,36,16,211,Matches
Tahith Chong\Tahith-Chong,Manchester Utd,13,15,86.7,231,59,0,0,0,0,1,1,0,2,Matches
Hamza Choudhury\Hamza-Choudhury,Leicester City,207,238,87,3864,725,0,0.4,-0.4,4,17,3,1,18,Matches
Andreas Christensen\Andreas-Christensen,Chelsea,416,446,93.3,8083,2567,0,0,0,0,22,0,0,32,Matches
Cyrus Christie\Cyrus-Christie,Fulham,876,1194,73.4,15085,5404,1,1.4,-0.4,21,34,24,12,126,Matches
Ibrahima Cissé\Ibrahima-Cisse,Fulham,28,33,84.8,431,201,0,0,0,0,3,0,0,3,Matches
Ciaran Clark\Ciaran-Clark,Newcastle Utd,225,302,74.5,4567,1819,0,0.4,-0.4,3,15,3,0,19,Matches
Tom Cleverley\Tom-Cleverley,Watford,175,229,76.4,3050,845,0,0,0,0,15,5,0,18,Matches
Nathaniel Clyne\Nathaniel-Clyne,Bournemouth,454,588,77.2,7538,3253,1,0.2,0.8,5,21,10,3,76,Matches
Conor Coady\Conor-Coady,Wolves,1412,1677,84.2,39228,12627,0,0,0,0,119,5,0,61,Matches
Joel Coleman\Joel-Coleman,Huddersfield,12,37,32.4,517,326,0,0,0,0,1,0,0,0,Matches
Séamus Coleman\Seamus-Coleman,Everton,1218,1583,76.9,21085,9037,2,2.3,-0.3,22,97,25,14,188,Matches
Lewis Cook\Lewis-Cook,Bournemouth,328,400,82,6783,1660,0,0.1,-0.1,2,30,7,1,40,Matches
Steve Cook\Steve-Cook,Bournemouth,1222,1573,77.7,29083,10946,1,1.2,-0.2,12,88,5,1,117,Matches
Jack Cork\Jack-Cork,Burnley,1081,1349,80.1,19365,4193,2,1.6,0.4,17,102,16,2,95,Matches
Hélder Costa\Helder-Costa,Wolves,372,493,75.5,5672,1217,2,1.6,0.4,17,18,20,2,39,Matches
Aaron Cresswell\Aaron-Cresswell,West Ham,835,1061,78.7,13626,5624,1,1.1,-0.1,16,63,18,6,109,Matches
Peter Crouch\Peter-Crouch,Burnley,11,25,44,140,49,0,0,0,0,1,1,0,2,Matches
Greg Cunningham\Greg-Cunningham,Cardiff City,167,229,72.9,3036,1473,0,0.2,-0.2,5,19,5,4,32,Matches
Diogo Dalot\Diogo-Dalot,Manchester Utd,395,556,71,7185,2625,2,1.7,0.3,17,23,14,7,69,Matches
Matty Daly\Matty-Daly,Huddersfield,7,13,53.8,72,14,0,0,0,0,1,0,0,0,Matches
Loïc Damour\Loic-Damour,Cardiff City,8,11,72.7,233,25,0,0,0,0,1,0,0,0,Matches
Charlie Daniels\Charlie-Daniels,Bournemouth,785,1019,77,13981,5849,0,1,-1,11,62,22,6,112,Matches
Danilo\Danilo,Manchester City,767,871,88.1,13915,3100,0,0.3,-0.3,5,69,9,1,66,Matches
Scott Dann\Scott-Dann,Crystal Palace,190,243,78.2,3784,1692,1,0,1,0,10,0,0,17,Matches
Matteo Darmian\Matteo-Darmian,Manchester Utd,176,206,85.4,2960,1297,0,0.1,-0.1,2,14,1,1,17,Matches
Ben Davies\Ben-Davies,Tottenham,1071,1314,81.5,18467,7269,0,1.9,-1.9,17,82,21,7,145,Matches
Tom Davies\Tom-Davies,Everton,414,525,78.9,7840,1831,0,0.5,-0.5,5,49,8,0,51,Matches
Steven Davis\Steven-Davis,Southampton,65,69,94.2,1339,434,1,0.7,0.3,3,6,3,1,7,Matches
Kevin De Bruyne\Kevin-De-Bruyne,Manchester City,625,819,76.3,12509,3382,2,3.5,-1.5,33,66,44,8,110,Matches
Troy Deeney\Troy-Deeney,Watford,522,836,62.4,7505,2717,5,4.7,0.3,40,61,42,3,109,Matches
Jermain Defoe\Jermain-Defoe,Bournemouth,0,0,,0,0,0,0,0,0,0,0,0,0,Matches
Steven Defour\Steven-Defour,Burnley,198,250,79.2,4054,1078,0,0,0,2,17,4,0,21,Matches
Fabian Delph\Fabian-Delph,Manchester City,692,758,91.3,12042,3058,1,0.3,0.7,3,75,14,2,63,Matches
Mousa Dembélé\Mousa-Dembele,Tottenham,278,308,90.3,4789,964,0,0,0,0,21,1,0,23,Matches
Leander Dendoncker\Leander-Dendoncker,Wolves,504,625,80.6,8274,1826,0,1.2,-1.2,7,28,7,1,37,Matches
Laurent Depoitre\Laurent-Depoitre,Huddersfield,169,261,64.8,2246,458,1,0.6,0.4,7,10,6,0,17,Matches
Gerard Deulofeu\Gerard-Deulofeu,Watford,580,795,73,9204,2193,5,4.9,0.1,30,40,43,5,85,Matches
Fousseni Diabaté\Fousseni-Diabate,Leicester City,10,18,55.6,161,38,0,0.1,-0.1,1,0,1,1,1,Matches
Adama Diakhaby\Adama-Diakhaby,Huddersfield,118,164,72,1783,279,0,0.4,-0.4,5,2,4,0,11,Matches
Mohamed Diamé\Mohamed-Diame,Newcastle Utd,571,741,77.1,10387,2494,0,0,0,1,44,8,1,45,Matches
Grady Diangana\Grady-Diangana,West Ham,200,265,75.5,2919,785,1,1.2,-0.2,11,16,7,1,24,Matches
Eric Dier\Eric-Dier,Tottenham,890,1058,84.1,17043,4569,0,0.9,-0.9,8,80,12,3,78,Matches
Lucas Digne\Lucas-Digne,Everton,1460,2059,70.9,26883,12195,4,6.1,-2.1,70,112,51,30,293,Matches
Virgil van Dijk\Virgil-van-Dijk,Liverpool,2709,2996,90.4,61696,17542,2,1.1,0.9,6,182,5,0,157,Matches
Issa Diop\Issa-Diop,West Ham,973,1141,85.3,19676,6689,0,0.1,-0.1,2,42,0,0,64,Matches
Matt Doherty\Matt-Doherty,Wolves,1333,1828,72.9,22929,10172,5,4.8,0.2,41,74,32,11,294,Matches
Abdoulaye Doucouré\Abdoulaye-Doucoure,Watford,1640,1967,83.4,28537,6923,6,3.8,2.2,37,149,36,4,165,Matches
Luke Dreher\Luke-Dreher,Crystal Palace,3,3,100,28,0,0,0,0,0,0,0,0,0,Matches
Martin Dúbravka\Martin-Dubravka,Newcastle Utd,686,1152,59.5,26442,18423,0,0,0,0,21,0,0,0,Matches
Shane Duffy\Shane-Duffy,Brighton,990,1268,78.1,23988,7882,1,0.3,0.7,6,39,3,1,33,Matches
Demeaco Duhaney\Demeaco-Duhaney,Huddersfield,20,28,71.4,343,187,0,0,0,0,3,1,0,6,Matches
Paul Dummett\Paul-Dummett,Newcastle Utd,639,884,72.3,12842,6676,0,0.8,-0.8,5,75,12,4,104,Matches
Lewis Dunk\Lewis-Dunk,Brighton,1240,1489,83.3,30199,8695,1,0.6,0.4,9,77,3,0,50,Matches
Erik Durm\Erik-Durm,Huddersfield,748,1072,69.8,12973,4976,1,0.9,0.1,12,53,18,10,125,Matches
Bruno Ecuele Manga\Bruno-Ecuele-Manga,Cardiff City,706,1110,63.6,15221,7237,1,0.4,0.6,5,75,6,1,143,Matches
Ederson\Ederson,Manchester City,918,1071,85.7,24419,14709,1,0.3,0.7,3,9,0,0,3,Matches
Harvey Elliot\Harvey-Elliot,Fulham,10,12,83.3,176,35,0,0,0,0,0,1,0,1,Matches
Mohamed Elneny\Mohamed-Elneny,Arsenal,259,287,90.2,5088,1243,0,0.1,-0.1,4,18,3,0,28,Matches
Mohamed Elyounoussi\Mohamed-Elyounoussi,Southampton,176,270,65.2,2887,915,0,1.1,-1.1,13,11,9,1,27,Matches
Christian Eriksen\Christian-Eriksen,Tottenham,1540,1985,77.6,28609,7805,12,6.9,5.1,75,181,55,11,228,Matches
Neil Etheridge\Neil-Etheridge,Cardiff City,396,1188,33.3,23283,20303,0,0.2,-0.2,3,65,0,0,0,Matches
Jonny Evans\Jonny-Evans,Leicester City,867,1013,85.6,19495,5850,0,0.2,-0.2,4,44,1,0,35,Matches
?ukasz Fabia?ski\Lukasz-Fabianski,West Ham,651,1204,54.1,27972,20620,0,0.2,-0.2,3,19,0,0,0,Matches
Fabinho\Fabinho,Liverpool,1403,1631,86,27109,6384,2,1.3,0.7,16,153,25,2,135,Matches
Cesc Fàbregas\Cesc-Fabregas,Chelsea,165,193,85.5,3038,1041,0,0.3,-0.3,3,17,4,0,19,Matches
Fabricio\Fabricio,Fulham,34,50,68,1178,824,0,0,0,0,1,0,0,0,Matches
Marouane Fellaini\Marouane-Fellaini,Manchester Utd,347,433,80.1,5685,1643,1,0.1,0.9,3,31,1,0,31,Matches
Kiko Femenía\Kiko-Femenia,Watford,950,1174,80.9,16155,6758,1,1.8,-0.8,15,66,26,13,131,Matches
Federico Fernández\Federico-Fernandez,Newcastle Utd,483,622,77.7,11554,4212,1,0.3,0.7,4,33,4,2,45,Matches
Fernandinho\Fernandinho,Manchester City,1804,2068,87.2,33312,9062,3,2.9,0.1,24,265,48,0,218,Matches
Roberto Firmino\Roberto-Firmino,Liverpool,1056,1303,81,15904,4432,6,5.6,0.4,42,90,54,3,158,Matches
Phil Foden\Phil-Foden,Manchester City,202,235,86,2955,456,0,0.6,-0.6,8,9,8,0,19,Matches
Fraser Forster\Fraser-Forster,Southampton,10,23,43.5,444,387,0,0,0,0,0,0,0,0,Matches
Ben Foster\Ben-Foster,Watford,600,1242,48.3,28046,23821,0,0.3,-0.3,7,44,1,0,2,Matches
Timothy Fosu-Mensah\Timothy-Fosu-Mensah,Fulham,372,471,79,7249,2790,0,0.4,-0.4,4,25,5,2,51,Matches
Juan Foyth\Juan-Foyth,Tottenham,506,588,86.1,9974,2929,0,0.3,-0.3,3,28,3,1,24,Matches
Simon Francis\Simon-Francis,Bournemouth,598,815,73.4,11601,5627,2,1,1,11,62,17,8,94,Matches
Ryan Fraser\Ryan-Fraser,Bournemouth,1019,1505,67.7,18740,6522,14,11.8,2.2,87,79,64,24,225,Matches
Fred\Fred,Manchester Utd,656,769,85.3,13141,3451,1,0.9,0.1,14,79,6,2,72,Matches
Ryan Fredericks\Ryan-Fredericks,West Ham,397,548,72.4,6041,2556,0,0.2,-0.2,3,18,8,6,48,Matches
Christian Fuchs\Christian-Fuchs,Leicester City,121,158,76.6,2337,1103,0,0.3,-0.3,6,11,6,4,30,Matches
Manolo Gabbiadini\Manolo-Gabbiadini,Southampton,83,119,69.7,1114,293,0,0.2,-0.2,4,3,3,0,5,Matches
Sam Gallagher\Sam-Gallagher,Southampton,2,8,25,18,0,0,0,0,0,0,0,0,0,Matches
Idrissa Gana Gueye\Idrissa-Gana-Gueye,Everton,1478,1758,84.1,28783,7529,2,1,1,19,172,20,2,171,Matches
James Garner\James-Garner,Manchester Utd,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
Paulo Gazzaniga\Paulo-Gazzaniga,Tottenham,70,105,66.7,2073,1166,0,0,0,0,1,0,0,0,Matches
David de Gea\David-de-Gea,Manchester Utd,712,1087,65.5,28362,21563,0,0,0,1,11,0,0,1,Matches
Rachid Ghezzal\Rachid-Ghezzal,Leicester City,355,466,76.2,6215,1684,0,1.6,-1.6,15,18,18,7,53,Matches
Morgan Gibbs-White\Morgan-Gibbs-White,Wolves,271,336,80.7,5384,991,1,1.5,-0.5,12,20,8,0,23,Matches
Ben Gibson\Ben-Gibson,Burnley,21,32,65.6,402,129,0,0,0,0,1,0,0,2,Matches
