first_name,second_name,total_points
Tammy,Abraham,0
Fabricio,Agosto Ramírez,8
Sergio,Agüero,201
Nathan,Aké,120
Marc,Albrighton,63
Toby,Alderweireld,107
Trent,Alexander-Arnold,185
Dele,Alli,94
Miguel,Almirón,28
Marcos,Alonso,161
Daniel,Amartey,15
Luke,Amos,1
Ethan,Ampadu,0
Florin,Andone,38
Bernard,,88
Michail,Antonio,118
Stuart,Armstrong,75
Marko,Arnautovic,117
Kepa,Arrizabalaga,142
Harry,Arter,48
Christian,Atsu,55
Pierre-Emerick,Aubameyang,205
Serge,Aurier,24
Charlie,Austin,46
Jordan,Ayew,46
Floyd,Ayité,24
César,Azpilicueta,158
Ryan,Babel,75
Leandro,Bacuna,17
Juninho,Bacuna,39
Eric,Bailly,16
Leighton,Baines,7
Tiemoué,Bakayoko,0
Fabián,Balbuena,61
Sam,Baldock,0
Leon,Balogun,15
Sol,Bamba,95
Beni,Baningime,0
Ricardo,Pereira,146
Phil,Bardsley,33
Ross,Barkley,79
Ashley,Barnes,122
Harvey,Barnes,43
Antonio,Barreca,1
Michy,Batshuayi,48
Danny,Batth,0
Jan,Bednarek,49
Asmir,Begovic,63
Héctor,Bellerín,60
Yohan,Benalouane,0
Filip,Benkovic,0
Joe,Bennett,77
Ryan,Bennett,89
Josh,Benson,0
Christian,Benteke,33
Ryan,Bertrand,56
Marcus,Bettinelli,15
Philip,Billing,63
Yves,Bissouma,43
Daley,Blind,0
Omar,Bogle,0
Yannick,Bolasie,0
Willy,Boly,120
Léo,Bonatini,10
Gaëtan,Bong,48
Willian,,108
Artur,Boruc,46
Sofiane,Boufal,0
Robbie,Brady,20
Claudio,Bravo,0
Miguel,Britos,3
David,Brooks,123
Tyias,Browning,0
Joe,Bryan,52
Dan,Burn,0
Matt,Butcher,0
David,Button,15
Sam,Byram,0
Willy,Caballero,13
Gary,Cahill,2
Tom,Cairney,71
Dominic,Calvert-Lewin,92
Rafael,Camacho,1
Víctor,Camarasa,106
Étienne,Capoue,79
Guido,Carrillo,0
Andy,Carroll,12
Lewis,Cass,0
Jonny,Castro,103
Craig,Cathcart,93
Ivan,Cavaleiro,48
Petr,Cech,24
Nathaniel,Chalobah,10
Calum,Chambers,60
Ben,Chilwell,118
Tahith,Chong,2
Hamza,Choudhury,20
Andreas,Christensen,22
Cyrus,Christie,42
Ibrahima,Cissé,4
Ciaran,Clark,42
Tom,Cleverley,25
Nathaniel,Clyne,34
Conor,Coady,94
Séamus,Coleman,125
Joel,Coleman,2
Matthew,Connolly,0
Steve,Cook,85
Lewis,Cook,22
Jack,Cork,87
Hélder,Costa,52
Xande,Silva,1
Thibaut,Courtois,0
Conor,Coventry,0
Aaron,Cresswell,34
Peter,Crouch,8
Greg,Cunninghamm,9
Rui Pedro,da Rocha Fonte,0
Danilo,,46
Rúben,Neves,104
Pontus,Dahlberg,0
Diogo,Dalot,27
Matthew,Daly,2
Loïc,Damour,2
Charlie,Daniels,44
Scott,Dann,23
Karl,Darlow,0
Matteo,Darmian,14
Tom,Davies,26
Ben,Davies,66
Steven,Davis,9
Richarlison,,153
Kevin,De Bruyne,59
David,de Gea,120
Gabriel,Jesus,79
Luca,De La Torre,0
Troy,Deeney,116
Jermain,Defoe,4
Steven,Defour,10
Fabian,Delph,29
Mousa,Dembélé,14
Leander,Dendoncker,48
Laurent,Depoitre,34
Gerard,Deulofeu,133
Fousseni,Diabaté,1
Adama,Diakhaby,19
Mohamed,Diamé,56
Grady,Diangana,25
Brahim,Diaz,0
Eric,Dier,56
Lucas,Digne,158
Issa,Diop,87
Matt,Doherty,144
Rui,Patrício,118
Abdoulaye,Doucouré,124
Barry,Douglas,0
Kieran,Dowell,0
Luke,Dreher,1
Daniel,Drinkwater,0
Anthony,Driscoll-Glennon,0
Martin,Dúbravka,131
Shane,Duffy,115
Demeaco,Duhaney,1
Paul,Dummett,67
Lewis,Dunk,91
Erik,Durm,49
Bruno,Ecuele Manga,97
Robert,Elliot,0
Harvey,Elliott,2
Mohamed,Elneny,10
Mohamed,Elyounoussi,28
Bright,Enobakhare,0
Christian,Eriksen,161
Neil,Etheridge,154
Jonny,Evans,77
Timothy,Eyoma,0
Lukasz,Fabianski,143
Cesc,Fàbregas,6
Marouane,Fellaini,26
Kiko,Femenía,66
Edimilson,Fernandes,0
Bernardo,,39
Federico,Fernández,47
Roberto,Firmino,160
Phil,Foden,25
Fraser,Forster,2
Ben,Foster,129
Timothy,Fosu-Mensah,14
Juan,Foyth,35
Simon,Francis,40
Ryan,Fraser,181
Ryan,Fredericks,38
Jorginho,,96
Christian,Fuchs,3
Manolo,Gabbiadini,23
Sam,Gallagher,4
James,Garner,1
Dwight,Gayle,0
Paulo,Gazzaniga,13
Rachid,Ghezzal,28
Morgan,Gibbs-White,37
Ben,Gibson,6
Ryan John,Giles,0
Olivier,Giroud,55
Angel,Gomes,2
Heurelho,Gomes,0
Joe,Gomez,55
Roderick Jefferson,Gonçalves Miranda,0
Dan,Gosling,54
Karlan,Grant,45
Lee,Grant,0
Demarai,Gray,84
Andre,Gray,83
Mason,Greenwood,4
Pascal,Groß,80
Vicente,Guaita,81
Jóhann Berg,Guðmundsson,92
Addji Keaninkin Marc-Israel,Guehi,0
Mattéo,Guendouzi,47
Idrissa Gana,Gueye,78
Ilkay,Gündogan,113
Angus,Gunn,47
Aron,Gunnarsson,65
Viktor,Gyokeres,0
Florent,Hadergjonaj,50
Greg,Halford,0
Ben,Hamer,9
Kadeem,Harris,24
Joe,Hart,69
Kortney,Hause,0
Isaac,Hayden,69
Eden,Hazard,238
Rhys,Healey,3
Tom,Heaton,58
Tomer,Hemed,0
Jordan,Henderson,76
Jeff,Hendrick,73
Wayne,Hennessey,67
Javier,Hernández,86
Ander,Herrera,62
Gonzalo,Higuaín,53
Wesley,Hoedt,29
Jonathan,Hogg,54
David Junior,Hoilett,82
Pierre,Højbjerg,90
Rob,Holding,24
José,Holebas,93
Mason,Holgate,5
Nathan,Holland,0
Callum,Hudson-Odoi,18
Will,Hughes,87
Jordan,Hugill,0
Emerson,Hyndman,1
Jordon,Ibe,33
Vicente,Iborra,9
Kelechi,Iheanacho,58
Tom,Ince,0
Danny,Ings,90
Alex,Iwobi,99
José,Izquierdo,31
Jaroslaw,Jach,0
Phil,Jagielka,22
Alireza,Jahanbakhsh,33
Eldin,Jakupovic,0
Matty,James,0
Daryl,Janmaat,50
Vincent,Janssen,3
Carl,Jenkinson,4
Raúl,Jiménez,181
Stefan,Johansen,11
Cameron,John,0
Tyreke,Johnson,1
Ben,Johnson,2
Curtis,Jones,0
Phil,Jones,43
Alfie,Jones,0
Mathias,Jorgensen,67
Diogo,Jota,139
Christian,Kabasele,36
Younes,Kaboul,0
Elias,Kachunga,29
Sullay,Kaikai,0
Aboubakar,Kamara,28
Harry,Kane,160
N'Golo,Kanté,116
Loris,Karius,0
Beram,Kayal,36
Michael,Keane,129
Neeskens,Kebano,7
Naby,Keïta,67
Martin,Kelly,26
Jonjoe,Kenny,19
Ki,Sung-yueng,38
Max,Kilman,1
Joshua,King,141
Davy,Klaassen,0
Ragnar,Klavan,0
Josh,Knight,0
Anthony,Knockaert,74
Abd-Al-Ali Morakinyo Olaposi,Koiki,0
Sead,Kolašinac,81
Vincent,Kompany,58
Terence,Kongolo,60
Laurent,Koscielny,62
Cheikhou,Kouyaté,67
Mateo,Kovacic,64
Alexandre,Lacazette,166
Adam,Lallana,23
Érik,Lamela,67
Manuel,Lanzini,31
Aymeric,Laporte,177
Jamaal,Lascelles,95
Maxime,Le Marchand,38
Florian,Lejeune,35
Mario,Lemina,50
Aaron,Lennon,41
Bernd,Leno,106
Jefferson,Lerma,75
Stephan,Lichtsteiner,14
Anders,Lindegaard,0
Victor,Lindelöf,85
Jesse,Lingard,78
Fernando,Llorente,41
Hugo,Lloris,145
Jürgen,Locadia,52
Ruben,Loftus-Cheek,79
Kevin,Long,16
Shane,Long,66
Sean,Longstaff,26
Ademola,Lookman,34
Jonas,Lössl,99
Dejan,Lovren,63
Chris,Löwe,49
Matthew,Lowton,34
David,Luiz,164
Fernandinho,,79
Romelu,Lukaku,115
James,Maddison,137
Gary,Madine,5
Harry,Maguire,92
Riyad,Mahrez,102
Ainsley,Maitland-Niles,34
Scott,Malone,0
Sadio,Mané,231
Javier,Manquillo,53
Solly,March,94
Adrian,Mariappa,57
Lazar,Markovic,1
George,Marsh,0
Anthony,Martial,122
Cuco,Martina,0
Emiliano,Martínez,0
Adam,Masina,26
Arthur,Masuaku,49
Juan,Mata,70
Nemanja,Matic,59
Joël,Matip,83
Joselu,,30
Konstantinos,Mavropanos,3
Alfie,Mawson,19
Chancel,Mbemba,0
Isaac,Mbenza,38
James,McArthur,121
James,McCarthy,1
Alex,McCarthy,73
Kevin,McDonald,17
Dwight,McNeil,75
Sam,McQueen,0
Scott,McTominay,38
Zech,Medley,0
Ben,Mee,81
Nathaniel,Mendez-Laing,63
Nampalys,Mendy,58
Benjamin,Mendy,59
Chris,Mepham,27
Mikel,Merino,0
Max,Meyer,60
Simon,Mignolet,0
Luka,Milivojevic,166
James,Milner,101
Yerry,Mina,36
Tyrone,Mings,5
Rafa,Mir,0
Kevin,Mirallas,0
Aleksandar,Mitrovic,134
Henrikh,Mkhitaryan,98
Jayson,Molumby,0
Nacho,Monreal,77
Martín,Montoya,45
Aaron,Mooy,76
Álvaro,Morata,46
Alberto,Moreno,4
Wes,Morgan,76
Sean,Morrison,97
Victor,Moses,2
Steve,Mounie,69
Lys,Mousset,28
Arijanet,Muric,0
Josh,Murphy,76
Brian,Murphy,0
Jacob,Murphy,16
Glenn,Murray,129
Shkodran,Mustafi,80
Yoshinori,Muto,24
Samir,Nasri,14
Marc,Navarro,2
Wilfred,Ndidi,89
Reiss,Nelson,0
Oumar,Niasse,30
Eddie,Nketiah,10
Georges-Kévin,N'Koudou,4
Mark,Noble,99
Håvard,Nordtveit,8
Will,Norris,1
Kenedy,,50
Michael,Obafemi,13
Pedro,Obiang,43
Denis,Odoi,44
Nnamdi,Ofoborh,0
Angelo,Ogbonna,48
Stefano,Okaka,1
Shinji,Okazaki,25
Divock,Origi,32
Nicolás,Otamendi,70
Reece,Oxford,0
Alex,Oxlade-Chamberlain,2
Mesut,Özil,89
Emerson,Palmieri,22
Sokratis,Papastathopoulos,64
Callum,Paterson,80
Lee,Peltier,43
Adalberto,Peñaranda,0
Andreas,Pereira,27
Felipe,Anderson,155
Roberto,Pereyra,122
Ayoze,Pérez,141
Lucas,Pérez,33
Lucas,Perri,0
Adrien,Silva,3
Jordan,Pickford,161
Anthony,Pilkington,0
Paul,Pogba,179
Nick,Pope,0
Joe,Powell,0
Alex,Pritchard,69
Sebastian,Prödl,1
Davy,Pröpper,72
Marc,Pugh,0
Jason,Puncheon,15
Collin,Quaner,2
Domingos,Quina,17
Joe,Ralls,45
Sandro,Ramírez,0
Kayne,Ramsey,1
Alisson,,176
Aaron,Ramsey,91
Marcus,Rashford,128
Tim,Ream,50
Nathan,Redmond,137
Bobby,Reid,80
Winston,Reid,0
Declan,Rice,92
Ashley Darel Jazz,Richards,2
Diego,Rico,8
Sergio,Rico,86
Jairo,Riedewald,0
Matt,Ritchie,110
Callum,Roberts,0
Andrew,Robertson,213
Fred,,40
Lucas,Moura,131
Pedro,,112
Marcos,Rojo,2
Sergio,Romero,0
Oriol,Romeu,55
Salomón,Rondón,148
Danny,Rose,86
Aaron,Rowe,2
John,Ruddy,7
Antonio,Rüdiger,116
Mathew,Ryan,104
Abdelhamid,Sabiri,2
Romain,Saïss,47
Bukayo,Saka,1
Mamadou,Sakho,88
Bakary,Sako,4
Mohamed,Salah,259
Bruno,,46
Adrián,San Miguel del Castillo,0
Alexis,Sánchez,47
Davinson,Sánchez,78
Carlos,Sánchez,9
Max,Sanders,0
Philippe,Sandler,0
Leroy,Sané,156
Ederson,,169
João,Moutinho,119
Fabian,Schär,93
Ezequiel,Schelotto,0
Christopher,Schindler,76
Jeffrey,Schlupp,91
Kasper,Schmeichel,120
Morgan,Schneiderlin,28
Ryan,Schofield,0
André,Schürrle,75
Ken,Sema,37
Jean Michael,Seri,72
Ryan,Sessegnon,94
Zeze Steven,Sessegnon,0
Xherdan,Shaqiri,88
Luke,Shaw,91
Jonjo,Shelvey,39
Gylfi,Sigurðsson,182
David,Silva,143
Rúben,Vinagre,24
Jack,Simpson,10
Danny,Simpson,12
Josh,Sims,11
Jerome,Sinclair,0
Moussa,Sissoko,76
Oliver,Skipp,12
Callum,Slattery,4
Chris,Smalling,56
Adam,Smith,70
Tommy,Smith,9
Alex,Smithies,0
Emile,Smith-Rowe,0
Robert,Snodgrass,85
Cédric,Soares,52
Ramadan,Sobhi,4
Dominic,Solanke,15
Son,Heung-min,159
Alexander,Sørloth,12
Pape,Souaré,1
Çaglar,Söyüncü,9
Julián,Speroni,1
Junior,Stanislas,56
Jon Gorenc,Stankovic,24
Jason,Steele,0
Maarten,Stekelenburg,0
Dale,Stephens,65
Jack,Stephens,47
Raheem,Sterling,234
Kazaiah,Sterling,0
Jamie,Sterry,0
John,Stones,83
Daniel,Sturridge,34
Denis,Suárez,4
Isaac,Success,42
Andrew,Surman,36
Sam,Surridge,2
Markus,Suttner,0
Matt,Targett,36
James,Tarkowski,97
Nikola,Tavares,0
Fabinho,,65
André,Gomes,64
Kyle,Taylor,0
Charlie,Taylor,82
Youri,Tielemans,63
James,Tomkins,86
Lucas,Torreira,78
Cenk,Tosun,56
Andros,Townsend,135
Adama,Traoré,44
Mark,Travers,9
Kieran,Trippier,118
Joe,Tupper,0
Antonio,Valencia,17
Yan,Valery,54
Patrick,van Aanholt,140
Virgil,van Dijk,208
Rajiv,van La Parra,10
Jamie,Vardy,174
Bernardo,Silva,154
Jan,Vertonghen,67
Jannik,Vestergaard,50
Luciano,Vietto,47
Nikola,Vlasic,0
Sam,Vokes,48
Michel,Vorm,5
Matej,Vydra,21
Theo,Walcott,101
Kyle,Walker,150
Kyle,Walker-Peters,28
Jonathan,Walters,0
Aaron,Wan-Bissaka,120
Victor,Wanyama,24
Stephen,Ward,7
Danny,Ward,22
Joel,Ward,13
Danny,Ward,0
James,Ward-Prowse,94
Kelland,Watts,0
Danny,Welbeck,19
Nahki,Wells,0
Ashley,Westwood,111
Ben,White,0
Alfie,Whiteman,0
Connor,Wickham,9
Georginio,Wijnaldum,108
Ashley,Williams,0
Danny,Williams,6
Joe,Willock,4
Ben,Wilmot,1
Jack,Wilshere,17
Callum,Wilson,168
Harry,Winks,53
Chris,Wood,131
Frederick,Woodman,0
Sam,Woods,0
Granit,Xhaka,90
Andriy,Yarmolenko,27
DeAndre,Yedlin,63
Maya,Yoshida,44
Ashley,Young,73
Pablo,Zabaleta,56
Wilfried,Zaha,143
André-Frank,Zambo Anguissa,37
Davide,Zappacosta,9
Marvin,Zeegelaar,0
Oleksandr,Zinchenko,44
Kenneth,Zohore,33
Kurt,Zouma,112
