Player,Pos,90s,xA,xG,Recov,CrsPA,Tkl,TklW
Jesse Lingard\Jesse-Lingard,MFFW,10.4,0.9,2.7,52,0,13,9
Hugo Lloris\Hugo-Lloris,GK,20.1,0,0,93,0,0,0
Giovani Lo Celso\Giovani-Lo-Celso,MFFW,16.6,2,1.3,167,2,51,33
Jürgen Locadia\Jurgen-Locadia,MFFW,1,0,0.3,8,0,1,1
Ruben Loftus-Cheek\Ruben-Loftus-Cheek,MFFW,2.3,0.2,0.5,23,0,0,0
Kevin Long\Kevin-Long,DF,6.3,0,0.2,64,0,10,8
Shane Long\Shane-Long,FW,15.5,1.4,4.7,81,4,19,15
Matthew Longstaff\Matthew-Longstaff,MF,6.4,0.2,0.4,57,1,6,3
Sean Longstaff\Sean-Longstaff,MF,15.3,1,1,170,1,43,21
Dejan Lovren\Dejan-Lovren,DF,8.6,0.3,0.3,107,0,16,9
Matthew Lowton\Matthew-Lowton,DF,17,1.1,0,135,4,44,24
David Luiz\David-Luiz,DF,31.2,1,1.8,210,1,33,20
Douglas Luiz\Douglas-Luiz,MF,29,1.4,2.4,320,4,52,33
John Lundstram\John-Lundstram,MF,27.3,2.4,5.3,235,6,50,33
Alexis Mac Allister\Alexis-Mac-Allister,MFFW,3.9,0.3,0.4,31,1,9,4
James Maddison\James-Maddison,MF,29.2,7.2,5,218,6,56,39
Harry Maguire\Harry-Maguire,DF,38,0.5,2,435,0,44,27
Riyad Mahrez\Riyad-Mahrez,FW,21.6,9,7.2,140,8,32,21
Ainsley Maitland-Niles\Ainsley-Maitland-Niles,DF,15.4,1.4,0.3,131,5,41,27
Sadio Mané\Sadio-Mane,FW,30.5,7,13.5,169,11,50,35
Javier Manquillo\Javier-Manquillo,DF,17.8,0.4,0.1,119,4,47,32
Solly March\Solly-March,DFFW,12.7,0.7,1.4,99,7,26,17
Pablo Marí\Pablo-Mari,DF,1.3,0,0,8,0,3,1
Adrian Mariappa\Adrian-Mariappa,DF,16.8,0.4,0.2,133,3,25,12
Anthony Martial\Anthony-Martial,FW,29.2,4.2,10.9,76,1,15,12
David Martin\David-Martin,GK,4.8,0,0,20,0,0,0
Josh Martin\Josh-Martin,FW,0.4,0,0.2,3,0,0,0
Martinelli\Martinelli,FW,7.4,0.2,2.2,34,1,23,13
Emiliano Martínez\Emiliano-Martinez,GK,8.6,0,0,39,0,0,0
Adam Masina\Adam-Masina,DF,20.2,0.6,0.7,229,12,40,25
Arthur Masuaku\Arthur-Masuaku,DF,10.4,1,0.1,112,3,43,27
Juan Mata\Juan-Mata,MFFW,8.4,1.9,1.2,48,2,8,7
Nemanja Mati?\Nemanja-Matic,MF,17.6,1.3,0.2,242,1,41,21
Joël Matip\Joel-Matip,DF,7.8,0,0.3,92,0,13,9
Neal Maupay\Neal-Maupay,FW,30.7,2.5,11.2,141,3,28,17
James McArthur\James-McArthur,MF,34.3,2.6,2.4,345,3,110,70
Oliver McBurnie\Oliver-McBurnie,FW,23.5,1.5,7.7,141,0,35,21
Alex McCarthy\Alex-McCarthy,GK,28,0,0,117,0,0,0
James McCarthy\James-McCarthy,MF,18.7,0.9,0.5,244,0,77,42
John McGinn\John-McGinn,MF,25.7,2.4,3.9,205,8,59,41
David McGoldrick\David-McGoldrick,FW,20.2,2.1,7.1,112,3,42,26
Michael McGovern\Michael-McGovern,GK,1.8,0,0,10,0,0,0
Kenny McLean\Kenny-McLean,MF,33,2.1,1.4,327,5,48,31
Dwight McNeil\Dwight-McNeil,MF,37.1,6.7,2.2,327,29,55,28
Scott McTominay\Scott-McTominay,MF,19.7,0.7,1.5,237,2,50,31
Ben Mee\Ben-Mee,DF,32,0.6,1.7,343,0,35,16
Benjamin Mendy\Benjamin-Mendy,DF,16.6,1.4,0.3,122,20,22,17
Nampalys Mendy\Nampalys-Mendy,MF,3.2,0.1,0,34,0,7,4
Chris Mepham\Chris-Mepham,DF,10.1,0.1,0.6,106,0,23,14
Max Meyer\Max-Meyer,MFFW,7.3,0.7,0.7,50,2,17,8
Luka Milivojevi?\Luka-Milivojevic,MF,27.9,1.8,2.5,331,0,60,37
James Milner\James-Milner,MFDF,10.4,0.7,2.1,102,1,17,10
Yerry Mina\Yerry-Mina,DF,25.4,0.2,2.2,279,0,43,20
Takumi Minamino\Takumi-Minamino,FWMF,2.8,0,1.4,11,1,4,3
Tyrone Mings\Tyrone-Mings,DF,32.2,0.7,1.1,330,1,25,17
Tyrick Mitchell\Tyrick-Mitchell,DF,2.2,0.2,0,18,3,6,2
Henrikh Mkhitaryan\Henrikh-Mkhitaryan,FW,1.2,0.2,0.2,12,0,0,0
Nacho Monreal\Nacho-Monreal,DF,3,0.2,0.1,17,0,4,4
Martín Montoya\Martin-Montoya,DF,21.1,1.4,1.3,161,18,49,28
Simon Moore\Simon-Moore,GK,2,0,0,10,0,0,0
Aaron Mooy\Aaron-Mooy,MFFW,23.2,3.3,2,189,7,43,31
Wesley Moraes\Wesley-Moraes,FW,19.8,0.8,5.2,60,0,14,10
Wes Morgan\Wes-Morgan,DF,4.8,0,0.1,43,0,5,4
Ravel Morrison\Ravel-Morrison,MF,0.1,0,0,2,0,0,0
Mason Mount\Mason-Mount,MFFW,31.9,4.6,7,214,6,48,31
Lucas Moura\Lucas-Moura,FWMF,24.9,2.4,5.7,199,3,53,33
Lys Mousset\Lys-Mousset,FW,13.8,2.5,4.9,66,1,11,4
João Moutinho\Joao-Moutinho,MF,34.5,6.3,0.8,355,12,92,54
Glenn Murray\Glenn-Murray,FW,8.9,0.5,2.1,36,0,3,2
Shkodran Mustafi\Shkodran-Mustafi,DF,13.4,0,0.8,126,0,14,9
Yoshinori Mut?\Yoshinori-Muto,FWMF,2.4,0.1,0.1,9,1,3,2
Georges-Kévin N'Koudou\Georges-Kevin-NKoudou,FW,0,0,0,0,0,0,0
Marvelous Nakamba\Marvelous-Nakamba,MF,20.4,0.5,0.2,236,0,65,47
Wilfred Ndidi\Wilfred-Ndidi,MF,29.7,0.4,1.8,430,0,125,76
Tanguy Ndombele\Tanguy-Ndombele,MF,11.2,1.2,0.4,109,0,27,19
Reiss Nelson\Reiss-Nelson,FW,7,0.7,0.9,34,4,12,6
Pedro Neto\Pedro-Neto,FWMF,10.4,2.3,2,82,4,11,5
Rúben Neves\Ruben-Neves,MF,34,2,1.7,470,2,64,42
Jeremy Ngakia\Jeremy-Ngakia,DF,4.9,0,0,38,1,19,12
Oumar Niasse\Oumar-Niasse,FW,0.2,0,0,1,0,4,1
Eddie Nketiah\Eddie-Nketiah,FW,7,0.7,3.2,30,0,10,7
Mark Noble\Mark-Noble,MF,29.7,3,2.8,299,3,50,36
Oliver Norwood\Oliver-Norwood,MF,34.3,4.2,1.5,463,12,75,44
Ørjan Nyland\Orjan-Nyland,GK,6,0,0,24,0,0,0
Jack O'Connell\Jack-OConnell,DF,32.4,2.1,1.2,376,4,35,20
Michael Obafemi\Michael-Obafemi,FW,7.4,1.2,1.9,32,0,6,2
Angelo Ogbonna\Angelo-Ogbonna,DF,31,0.1,1.6,311,0,45,34
Divock Origi\Divock-Origi,FW,8,0.2,2,43,2,15,10
Ben Osborn\Ben-Osborn,MFDF,6.6,0.9,0.3,58,2,18,10
Nicolás Otamendi\Nicolas-Otamendi,DF,19.1,0.2,2.4,164,0,22,12
Alex Oxlade-Chamberlain\Alex-Oxlade-Chamberlain,MFFW,16.5,1.3,3,133,7,23,14
Mesut Özil\Mesut-Ozil,MF,16,2.3,1.3,92,1,13,10
Emerson Palmieri\Emerson-Palmieri,DF,11.4,1.4,1,116,5,22,7
Sokratis Papastathopoulos\Sokratis-Papastathopoulos,DF,18.8,0.2,1,109,0,23,13
Troy Parrott\Troy-Parrott,MF,0.1,0,0,0,0,0,0
Rui Patrício\Rui-Patricio,GK,38,0,0,173,0,0,0
Pedro\Pedro,FW,7.3,0.8,2.9,61,1,17,10
João Pedro\Joao-Pedro,FWMF,0.3,0.2,0.1,3,1,0,0
Nicolas Pépé\Nicolas-Pepe,FW,22.3,4.4,4.7,134,9,30,19
Andreas Pereira\Andreas-Pereira,MFFW,16.5,4,2.4,120,4,22,12
Ricardo Pereira\Ricardo-Pereira,DF,28,3.6,1.2,227,9,122,68
Roberto Pereyra\Roberto-Pereyra,FWMF,18.3,1.8,2.6,143,4,17,10
Ayoze Pérez\Ayoze-Perez,MFFW,22.3,3.8,5.7,138,8,51,34
Jordan Pickford\Jordan-Pickford,GK,38,0.1,0,233,0,0,0
Brandon Pierrick\Brandon-Pierrick,MF,0.2,,,,,,0
Erik Pieters\Erik-Pieters,DFMF,20.9,2.6,0.6,186,6,58,41
Daniel Podence\Daniel-Podence,FWMF,3.2,0.4,1.6,19,0,2,2
Paul Pogba\Paul-Pogba,MF,13.4,2.7,1.9,166,1,25,16
Nick Pope\Nick-Pope,GK,38,0.7,0,193,0,0,0
Dennis Praet\Dennis-Praet,MF,12.6,0.8,1.3,144,3,30,18
Sebastian Prödl\Sebastian-Prodl,DF,0.6,0,0.1,5,0,0,0
Davy Pröpper\Davy-Propper,MF,31.4,2.2,1.3,365,6,58,38
Teemu Pukki\Teemu-Pukki,FW,32.1,3.1,12.4,113,2,17,12
Christian Pulisic\Christian-Pulisic,FW,19.1,3.4,8,102,2,31,19
Ignacio Pussetto\Ignacio-Pussetto,FWDF,0.8,0,0,14,0,6,3
Domingos Quina\Domingos-Quina,MF,0.2,0,0,4,0,1,0
Aaron Ramsdale\Aaron-Ramsdale,GK,37,0.1,0,198,0,0,0
Darren Randolph\Darren-Randolph,GK,2,0,0,6,0,0,0
Marcus Rashford\Marcus-Rashford,FW,29.4,4.6,17.5,140,4,12,6
Nathan Redmond\Nathan-Redmond,MFFW,30.7,3.1,5,250,5,57,46
Pepe Reina\Pepe-Reina,GK,12,0,0,51,0,0,0
Declan Rice\Declan-Rice,MF,38,1.4,1.1,450,9,122,89
Richarlison\Richarlison,FW,34.1,4.9,9,222,2,68,45
Diego Rico\Diego-Rico,DF,25.9,2.8,0.3,314,13,65,42
Jaïro Riedewald\Jairo-Riedewald,DFMF,8.5,0.4,0.1,90,1,15,12
Matt Ritchie\Matt-Ritchie,DFMF,14.6,2.2,1.5,117,7,24,17
Roberto\Roberto,GK,7.6,0,0,51,0,0,0
Patrick Roberts\Patrick-Roberts,MFFW,0.3,0,0,1,0,0,0
Andrew Robertson\Andrew-Robertson,DF,34.6,7.2,1.6,340,27,60,32
Callum Robinson\Callum-Robinson,FW,7.5,0.5,2.1,32,1,4,4
Jack Robinson\Jack-Robinson,DF,5.6,0.2,0,60,1,9,3
Rodri\Rodri,MF,27.6,1.6,1,372,1,64,44
Jay Rodriguez\Jay-Rodriguez,FW,22.4,1,8,118,0,33,17
Jack Rodwell\Jack-Rodwell,MF,0.2,0,0,1,0,0,0
Marcos Rojo\Marcos-Rojo,DF,1.4,0,0.1,7,0,2,1
Oriol Romeu\Oriol-Romeu,MF,20.7,1.2,0.3,302,3,56,39
Danny Rose\Danny-Rose,DF,9.6,0.2,0,86,1,26,15
Danny Rose\Danny-Rose,DF,9.9,0.7,0.1,93,4,16,13
Antonio Rüdiger\Antonio-Rudiger,DF,19,0.4,0.5,233,2,43,24
Lukas Rupp\Lukas-Rupp,FWMF,7.7,0.9,0.3,69,1,13,9
Mathew Ryan\Mathew-Ryan,GK,38,0,0,184,0,0,0
Allan Saint-Maximin\Allan-Saint-Maximin,MFFW,20.7,3.6,3,135,5,17,11
Romain Saïss\Romain-Saiss,DF,30.1,0.5,2.7,359,0,66,30
Bukayo Saka\Bukayo-Saka,DFFW,19.5,3.6,1.3,138,6,38,22
Mamadou Sakho\Mamadou-Sakho,DF,10.3,0.1,0,120,0,12,7
Mohamed Salah\Mohamed-Salah,FW,32,7.1,19,167,6,21,13
Mbwana Samatta\Mbwana-Samatta,FW,10.5,0.2,1.8,35,1,9,7
Carlos Sánchez\Carlos-Sanchez,MFDF,1.3,0,0,22,0,2,1
Davinson Sánchez\Davinson-Sanchez,DF,27,0,0.6,260,0,49,36
Leroy Sané\Leroy-Sane,FW,0.1,0,0.1,0,0,0,0
Ismaila Sarr\Ismaila-Sarr,FWMF,22.5,3.3,5.7,143,15,25,19
Fabian Schär\Fabian-Schar,DFMF,18.6,0.1,1.1,173,1,49,27
Ezequiel Schelotto\Ezequiel-Schelotto,DF,4,0,0.4,31,1,6,5
Jeffrey Schlupp\Jeffrey-Schlupp,MFDF,11.5,1.1,1.8,80,1,20,6
Kasper Schmeichel\Kasper-Schmeichel,GK,38,0.4,0,184,0,0,0
Morgan Schneiderlin\Morgan-Schneiderlin,MF,11.1,0.2,0.3,127,1,32,19
Ryan Sessegnon\Ryan-Sessegnon,DF,3.8,0,0.1,28,1,5,0
Xherdan Shaqiri\Xherdan-Shaqiri,FW,2.1,0.2,0.5,17,2,1,0
Billy Sharp\Billy-Sharp,FW,11.7,2.6,2.8,55,2,9,5
Luke Shaw\Luke-Shaw,DF,19.3,1.3,0.5,205,6,34,24
Jonjo Shelvey\Jonjo-Shelvey,MF,23.5,3.7,2.4,237,4,30,16
Djibril Sidibé\Djibril-Sidibe,DF,20.3,2.1,0.4,214,11,84,40
Gylfi Sigurðsson\Gylfi-Sigurdsson,MF,28.4,3.8,4.2,241,5,60,45
Bernardo Silva\Bernardo-Silva,FWMF,22.6,5.3,6.7,183,9,39,26
David Silva\David-Silva,MF,20.3,5.2,6.3,164,1,26,16
Jack Simpson\Jack-Simpson,DF,2.7,0,0,22,0,5,2
Moussa Sissoko\Moussa-Sissoko,MF,27.2,1,2.4,285,3,56,35
Oliver Skipp\Oliver-Skipp,MFDF,0.9,0,0,14,0,3,2
William Smallbone\William-Smallbone,MF,4.4,0.3,0.3,42,1,12,8
Adam Smith\Adam-Smith,DF,22.8,0.9,0.6,194,2,52,30
Emile Smith-Rowe\Emile-Smith-Rowe,MF,1.1,0,0,4,0,1,1
Robert Snodgrass\Robert-Snodgrass,MFFW,16.8,2.7,2.7,129,2,27,10
Cédric Soares\Cedric-Soares,DF,14.5,1.2,0.6,124,12,46,24
Cédric Soares\Cedric-Soares,DF,2.8,0,0,23,1,6,5
Dominic Solanke\Dominic-Solanke,FWMF,18.3,0.9,3.7,120,2,11,10
Tomáš Sou?ek\Tomas-Soucek,MF,11.6,0.4,2.3,117,0,35,25
Ça?lar Söyüncü\Caglar-Soyuncu,DF,33.7,0.3,2.2,363,0,73,47
Dennis Srbeny\Dennis-Srbeny,MFFW,0.5,0,0.6,5,0,5,4
Jack Stacey\Jack-Stacey,DF,17.2,2.2,0.3,185,2,21,13
Junior Stanislas\Junior-Stanislas,MFDF,7.9,0.8,1.6,60,1,10,6
Jed Steer\Jed-Steer,GK,0.1,0,0,0,0,0,0
Dale Stephens\Dale-Stephens,MF,28.1,1.1,0.5,315,2,76,40
Jack Stephens\Jack-Stephens,DF,27.2,1.2,0.8,322,0,56,35
Raheem Sterling\Raheem-Sterling,FW,29.5,7,17.3,160,6,41,29
Enda Stevens\Enda-Stevens,DF,37.2,4.5,1.2,341,10,76,43
Marco Stiepermann\Marco-Stiepermann,MF,13.1,0.5,1.6,67,1,18,7
John Stones\John-Stones,DF,12.5,0.1,0.6,153,0,19,12
Isaac Success\Isaac-Success,FWMF,0.8,0.1,0.1,5,0,0,0
Ki Sung-yueng\Ki-Sung-yueng,MF,1.5,0.1,0,14,0,1,1
Andrew Surman\Andrew-Surman,MF,2.6,0,0,40,0,5,2
Sam Surridge\Sam-Surridge,FW,0.3,0,0.4,1,0,0,0
Japhet Tanganga\Japhet-Tanganga,DF,5.8,0,0.1,50,0,20,15
Matt Targett\Matt-Targett,DF,25.5,2.7,0.5,240,12,57,33
James Tarkowski\James-Tarkowski,DF,38,2,2.3,442,0,76,51
Charlie Taylor\Charlie-Taylor,DF,21.6,1.4,0,198,17,43,16
Neil Taylor\Neil-Taylor,DF,12.1,0.2,0.3,94,1,19,9
Nathan Tella\Nathan-Tella,FW,0,0,0.1,1,0,0,0
Alexander Tettey\Alexander-Tettey,MFDF,26,0.8,0.8,327,0,31,20
Jordan Thomas\Jordan-Thomas,FW,0,0,0,0,0,0,0
Luke Thomas\Luke-Thomas,DF,3,0.9,0,27,8,4,3
Max Thompson\Max-Thompson,FW,0,0,0,0,0,0,0
Youri Tielemans\Youri-Tielemans,MF,31.4,5.6,3.2,287,7,57,40
Kieran Tierney\Kieran-Tierney,DF,11,1.1,0.2,98,5,21,11
James Tomkins\James-Tomkins,DF,17.6,0.1,1.3,165,0,30,14
Fikayo Tomori\Fikayo-Tomori,DF,14.3,0.2,0.6,145,0,30,15
Lucas Torreira\Lucas-Torreira,MF,16.8,1.1,1.6,215,0,37,24
Cenk Tosun\Cenk-Tosun,FW,2,0,0.6,9,0,2,2
Cenk Tosun\Cenk-Tosun,FW,3.2,0.1,0.7,12,0,2,0
Andros Townsend\Andros-Townsend,MF,14.4,2,0.4,109,12,32,20
Adama Traoré\Adama-Traore,FWMF,28.9,6.5,3.5,171,32,41,23
Mark Travers\Mark-Travers,GK,1,0,0,6,0,0,0
Trézéguet\Trezeguet,FWMF,21.7,0.8,3.7,94,7,42,28
Leandro Trossard\Leandro-Trossard,FWMF,22.3,3.7,4.7,138,8,28,16
Tom Trybull\Tom-Trybull,MF,12.6,0.1,0.4,130,0,49,30
Axel Tuanzebe\Axel-Tuanzebe,DF,2.1,0,0,26,0,3,3
Yan Valery\Yan-Valery,DF,8.7,0.8,0.3,83,1,21,13
Jesús Vallejo\Jesus-Vallejo,DF,1.8,0,0,18,0,4,3
Jamie Vardy\Jamie-Vardy,FW,33.7,5.4,19.8,91,5,17,11
Indiana Vassilev\Indiana-Vassilev,FWMF,0.6,0,0,3,0,1,1
Jan Vertonghen\Jan-Vertonghen,DF,18.3,0.9,0.3,196,0,31,21
Jannik Vestergaard\Jannik-Vestergaard,DF,16.6,0.1,0.9,195,0,25,12
Rúben Vinagre\Ruben-Vinagre,DF,7.2,0.5,0.4,61,6,25,13
Jake Vokins\Jake-Vokins,DF,1,0.1,0,8,1,2,0
Mario Vran?i?\Mario-Vrancic,MF,7.1,1.1,1.6,88,0,27,14
Mat?j Vydra\Matej-Vydra,FW,9.1,1,3.7,37,0,4,2
Theo Walcott\Theo-Walcott,MFFW,14.3,2.8,2.7,101,6,17,8
Kyle Walker\Kyle-Walker,DF,26.6,2.2,0.9,268,7,33,23
Kyle Walker-Peters\Kyle-Walker-Peters,DF,2.7,0.1,0,27,0,5,3
Kyle Walker-Peters\Kyle-Walker-Peters,DF,7.8,0.5,0.1,70,0,14,8
Aaron Wan-Bissaka\Aaron-Wan-Bissaka,DF,34.1,3,0.9,301,10,138,65
Victor Wanyama\Victor-Wanyama,MF,0.3,0,0,4,0,1,0
Joel Ward\Joel-Ward,DF,26.5,0.2,0.3,271,7,67,31
James Ward-Prowse\James-Ward-Prowse,MFDF,38,5.2,7,481,5,95,56
Kelland Watts\Kelland-Watts,DF,0.2,0,0,1,0,1,0
Adam Webster\Adam-Webster,DF,29.6,1,1.1,363,1,37,25
Danny Welbeck\Danny-Welbeck,FWMF,9.1,0.2,3.5,36,0,10,9
Ashley Westwood\Ashley-Westwood,MF,35,5.1,1.2,436,6,49,31
Connor Wickham\Connor-Wickham,FWMF,1.1,0.5,1.3,8,0,2,2
Georginio Wijnaldum\Georginio-Wijnaldum,MF,32.6,1.3,2.9,296,0,37,29
Jetro Willems\Jetro-Willems,DF,16.6,1.2,0.6,138,5,32,19
Brandon Williams\Brandon-Williams,DF,11.2,0.6,0.7,93,4,19,5
Neco Williams\Neco-Williams,DF,2.6,0.1,0.3,36,1,6,2
Willian\Willian,FW,28.9,6.9,7.2,221,12,43,27
Joe Willock\Joe-Willock,MFFW,9.5,0.8,2.3,100,3,22,15
Jack Wilshere\Jack-Wilshere,MF,2.4,0,0,19,0,1,0
Callum Wilson\Callum-Wilson,FW,32.3,3.1,9.9,125,3,15,12
Harry Wilson\Harry-Wilson,MFFW,18.3,1.6,4.4,146,2,25,11
Harry Winks\Harry-Winks,MF,24.7,1.1,0.5,233,2,42,23
Chris Wood\Chris-Wood,FW,27.1,0.9,12.9,88,0,9,6
Granit Xhaka\Granit-Xhaka,MF,28.7,1,0.4,319,3,46,27
Andriy Yarmolenko\Andriy-Yarmolenko,MFFW,11,2.6,2,71,3,15,10
DeAndre Yedlin\DeAndre-Yedlin,DF,10.4,0.3,0.6,63,6,19,14
Maya Yoshida\Maya-Yoshida,DF,6.2,0,0.5,53,0,7,5
Ashley Young\Ashley-Young,DF,10.6,1.2,0.1,95,2,10,4
Pablo Zabaleta\Pablo-Zabaleta,DF,6.6,0.4,0,62,2,15,10
Wilfried Zaha\Wilfried-Zaha,MFFW,36.4,3.3,5.3,232,14,45,31
Christoph Zimmermann\Christoph-Zimmermann,DF,15.9,0.1,0.3,146,0,31,21
Oleksandr Zinchenko\Oleksandr-Zinchenko,DF,14.2,1.7,0.4,155,11,28,16
Richairo Živkovi?\Richairo-Zivkovic,FW,1.2,0.2,0,2,1,2,2
Kurt Zouma\Kurt-Zouma,DF,26,0.2,0.7,307,0,33,17
